	index	User_ID	Anime_ID	Feedback
37725	261901	3082	5373	1
37747	262033	3082	200	1
37763	262159	3082	1668	1
37765	262175	3082	1981	1
37768	262195	3082	2845	1
37793	262317	3082	2396	1
37798	262336	3082	2127	1
38033	263725	3101	1597	1
38322	265633	3124	3230	1
38464	266675	3135	111	1
38543	267298	3146	4518	1
39156	271783	3210	2085	1
39293	272951	3229	5487	1
39984	277427	3295	1435	1
43114	297683	3529	1881	1
44273	305763	3577	2615	1
44365	306409	3584	2302	1
45066	311196	3651	1763	1
46197	318446	3731	2299	1
46972	323549	3775	3099	1
46986	323671	3775	907	1
47553	327470	3837	19	1
47566	327517	3837	3778	1
47574	327542	3837	1399	1
47576	327550	3837	67	1
47608	327784	3837	2159	1
52529	358784	4151	1277	1
53742	366837	4267	67	1
54737	373889	4382	5487	1
55081	376306	4425	5487	1
55089	376356	4425	1532	1
55093	376377	4425	286	1
55544	379843	4488	3231	1
58289	398304	4691	1881	1
59377	406087	4808	616	1
1054	7108	79	1088	2
1282	8890	97	2488	2
1487	9907	97	1135	2
2125	14326	146	67	2
3357	23472	274	3525	2
3478	24310	287	1532	2
3568	24892	289	543	2
4343	30552	352	616	2
4368	30746	354	585	2
4380	30830	354	709	2
4384	30874	354	90	2
4385	30875	354	2300	2
4409	31079	354	2152	2
4428	31204	354	424	2
4430	31219	354	218	2
4437	31272	354	2980	2
4443	31292	354	1977	2
4446	31303	354	2981	2
4451	31351	354	3121	2
4453	31362	354	974	2
4454	31375	354	976	2
4458	31400	354	3813	2
4459	31401	354	981	2
4461	31411	354	1861	2
4463	31420	354	3814	2
4468	31446	354	276	2
4472	31463	354	3376	2
4475	31477	354	3392	2
4479	31491	354	2876	2
4485	31524	354	301	2
4488	31538	354	1706	2
4503	31607	354	327	2
4505	31621	354	2127	2
5525	38017	418	4172	2
6323	42884	458	1165	2
6433	43545	470	1277	2
6465	43726	475	2478	2
6710	45238	488	129	2
6714	45274	488	4726	2
7286	49701	523	517	2
8661	58887	613	1436	2
8664	58927	613	1450	2
8671	58945	613	2128	2
8857	60203	636	2827	2
8968	60903	645	598	2
8991	61048	645	1409	2
8994	61093	645	253	2
10212	68959	769	3636	2
10322	69764	776	709	2
10369	70037	778	629	2
10379	70053	778	2013	2
11256	75459	831	694	2
11273	75688	831	165	2
11275	75711	831	507	2
11279	75742	831	1610	2
11831	80169	912	1677	2
11846	80254	912	1435	2
11847	80268	912	1538	2
11849	80280	912	1436	2
11861	80354	912	3245	2
11862	80369	912	5014	2
11879	80442	912	2128	2
11880	80444	912	3499	2
12433	84270	964	1981	2
12744	86748	991	4445	2
12759	86803	991	3221	2
12768	86846	991	3690	2
12797	87000	991	5618	2
12801	87020	991	3252	2
12815	87110	991	3195	2
12819	87119	991	5636	2
12828	87148	991	2958	2
12830	87153	991	3487	2
12843	87189	991	5641	2
13066	88623	1017	616	2
13074	88677	1017	2299	2
13134	89131	1017	5014	2
13141	89162	1017	3499	2
15266	104201	1213	2487	2
15268	104204	1213	36	2
15278	104226	1213	1881	2
15281	104244	1213	2142	2
15289	104260	1213	1277	2
15292	104268	1213	2514	2
15332	104554	1213	2827	2
15335	104564	1213	5942	2
15666	106772	1234	5954	2
15837	108070	1247	1773	2
15852	108279	1247	1932	2
16553	113355	1310	5322	2
17273	118672	1351	67	2
17814	122604	1404	5487	2
19637	135272	1538	585	2
19652	135338	1538	1773	2
19660	135372	1538	1568	2
19670	135421	1538	2079	2
19686	135556	1538	1610	2
19687	135558	1538	2812	2
19690	135570	1538	1849	2
20305	139333	1562	1727	2
20449	140277	1571	1450	2
20746	142760	1611	1088	2
21058	144789	1639	1882	2
22213	152325	1714	1839	2
22224	152391	1714	1436	2
22354	153407	1731	2925	2
22387	153593	1731	4772	2
22981	157785	1783	3886	2
23252	159431	1810	129	2
23279	159638	1813	1277	2
23365	160269	1822	1040	2
23390	160427	1822	823	2
23397	160484	1822	172	2
24278	166846	1906	658	2
24285	166902	1906	543	2
24290	166942	1906	830	2
25827	177144	2040	19	2
25832	177172	2040	658	2
26742	183394	2102	5725	2
26807	183835	2108	1088	2
26859	184330	2109	1277	2
27114	185962	2124	4997	2
27293	187234	2138	951	2
28263	195284	2261	694	2
28345	196029	2275	679	2
28358	196081	2275	1100	2
28410	196323	2275	5139	2
30706	212293	2506	1682	2
30731	212529	2512	3886	2
30781	212838	2516	1981	2
30815	213040	2520	1435	2
30906	213701	2527	1717	2
30915	213719	2527	6659	2
31886	220714	2614	2128	2
32023	221698	2625	658	2
32062	221970	2625	424	2
32101	222279	2632	1436	2
32486	225209	2675	1218	2
33192	230347	2717	3912	2
33196	230359	2717	627	2
33280	230754	2717	3523	2
33290	230836	2717	5487	2
34875	241492	2823	2228	2
35075	243004	2834	5303	2
35133	243320	2834	2079	2
35159	243505	2834	2743	2
35191	243719	2834	2820	2
35224	243964	2834	5725	2
35721	247406	2893	5487	2
36140	250587	2957	2980	2
36769	255149	3015	986	2
36972	256611	3040	3099	2
37261	258594	3058	1165	2
37493	260179	3069	1409	2
37691	261687	3082	690	2
37692	261692	3082	694	2
37694	261704	3082	4026	2
37702	261769	3082	2958	2
37739	261992	3082	1376	2
37749	262039	3082	6050	2
37775	262222	3082	276	2
38023	263662	3101	2655	2
38074	264023	3107	709	2
38459	266657	3135	1882	2
39985	277434	3295	1436	2
40347	279914	3323	1947	2
40349	279949	3323	563	2
40579	281499	3354	6873	2
41258	285851	3416	17	2
41377	286505	3421	60	2
41923	290017	3455	3232	2
42748	295386	3507	67	2
44534	307523	3602	9	2
44987	310710	3647	658	2
45670	314947	3699	1756	2
45678	315018	3699	694	2
45686	315059	3699	827	2
46170	318309	3728	7023	2
46201	318491	3731	769	2
46203	318496	3731	779	2
46942	323403	3775	1628	2
46951	323440	3775	658	2
46952	323447	3775	1509	2
46953	323449	3775	1882	2
46965	323514	3775	1088	2
47245	325247	3795	563	2
47558	327497	3837	1551	2
47573	327541	3837	694	2
47580	327591	3837	1088	2
48153	331696	3885	253	2
48523	334030	3907	1881	2
48552	334204	3907	793	2
48584	334428	3908	4272	2
49016	336812	3927	2458	2
50056	343317	3992	1275	2
51072	349426	4038	3195	2
53224	363237	4218	9	2
54069	369115	4308	2445	2
54678	373565	4378	563	2
54732	373857	4382	2079	2
55063	376168	4425	616	2
55712	381191	4496	1154	2
55791	381648	4502	2377	2
56564	387190	4568	2650	2
57722	394438	4652	7275	2
58297	398345	4691	1882	2
59592	407714	4819	976	2
59893	409837	4844	1154	2
60439	414044	4894	1436	2
61032	418517	4976	4172	2
957	6557	69	1981	3
1020	6872	76	36	3
1021	6874	76	1881	3
1022	6877	76	1882	3
1024	6880	76	682	3
1127	7660	84	88	3
1274	8840	97	2478	3
1365	9238	97	2592	3
1381	9311	97	543	3
1563	10272	97	2895	3
1564	10273	97	2896	3
1602	10433	100	709	3
3460	24153	287	694	3
3562	24863	289	658	3
3563	24868	289	1882	3
3670	25627	305	18	3
3681	25733	305	2374	3
3788	26778	306	1978	3
4185	29515	336	1164	3
4373	30782	354	658	3
4401	30996	354	1370	3
4412	31111	354	504	3
4417	31138	354	418	3
4433	31249	354	1610	3
4467	31437	354	1154	3
4470	31453	354	3818	3
4486	31529	354	1701	3
4487	31535	354	1439	3
4530	31738	355	1568	3
4680	32735	369	1277	3
4732	33081	375	4211	3
5522	38006	418	1277	3
5549	38165	418	2079	3
5555	38198	418	517	3
5558	38222	418	2083	3
5564	38235	418	3544	3
5587	38419	418	1740	3
5603	38537	418	3002	3
6053	41096	439	457	3
6055	41100	439	1892	3
6066	41152	439	2514	3
6115	41546	439	2084	3
6145	41782	439	3814	3
6585	44467	484	2288	3
7024	47351	504	658	3
7074	47757	506	4772	3
7270	49576	523	4668	3
7271	49580	523	3851	3
7319	49996	523	1618	3
7421	50619	531	658	3
7658	52443	550	359	3
8548	58244	606	253	3
8668	58933	613	1453	3
8670	58938	613	2445	3
8970	60908	645	2483	3
8992	61070	645	418	3
9147	62073	659	1453	3
9230	62699	680	1869	3
9970	67506	751	90	3
10202	68943	769	36	3
10396	70121	778	2192	3
10414	70218	778	5320	3
10493	70595	778	5265	3
10916	73317	810	383	3
10927	73360	811	3150	3
11133	74520	816	1668	3
11246	75348	831	2190	3
11254	75455	831	690	3
11259	75491	831	1898	3
11260	75522	831	1286	3
11264	75550	831	9	3
11267	75601	831	815	3
11271	75633	831	139	3
11274	75690	831	884	3
11630	78505	881	777	3
11844	80237	912	2874	3
11864	80381	912	1450	3
11872	80414	912	2445	3
11878	80441	912	1725	3
11984	81158	919	1450	3
12143	82301	934	5487	3
12486	84772	970	359	3
12754	86791	991	2065	3
12786	86927	991	4493	3
12793	86976	991	5304	3
12802	87027	991	5620	3
12806	87075	991	1942	3
12865	87319	991	3245	3
13063	88599	1017	585	3
13065	88621	1017	2287	3
13091	88801	1017	2699	3
13743	93522	1063	5487	3
14192	96777	1116	5447	3
14272	97293	1119	5749	3
14480	98824	1141	5725	3
15584	106175	1231	5943	3
16534	113237	1310	647	3
16563	113412	1310	6038	3
16592	113545	1310	6054	3
16631	113740	1310	6073	3
16727	114590	1315	6078	3
17070	117172	1332	6090	3
17082	117263	1332	90	3
17087	117294	1332	2655	3
17091	117324	1332	823	3
17274	118673	1351	9	3
17997	123929	1418	2152	3
19336	133090	1510	777	3
19649	135331	1538	1277	3
19668	135412	1538	9	3
19675	135455	1538	564	3
19680	135493	1538	2745	3
19683	135526	1538	201	3
20078	137716	1545	3499	3
20145	138196	1556	1628	3
20160	138266	1556	709	3
20166	138316	1556	3099	3
20415	140079	1571	2933	3
20893	143683	1625	1100	3
21061	144801	1639	1169	3
21786	149458	1690	921	3
21895	150164	1697	129	3
22211	152308	1714	1741	3
22347	153375	1731	1551	3
22356	153426	1731	1165	3
22361	153459	1731	2921	3
22371	153506	1731	4401	3
22378	153536	1731	2079	3
22382	153558	1731	4407	3
22383	153567	1731	2083	3
22385	153579	1731	1368	3
22389	153629	1731	507	3
22716	155990	1762	679	3
22727	156020	1762	1225	3
22729	156035	1762	111	3
22865	156846	1776	2655	3
22907	157178	1780	1054	3
23363	160260	1822	607	3
23364	160264	1822	1037	3
23367	160272	1822	1042	3
23371	160312	1822	2102	3
23372	160313	1822	1882	3
23381	160349	1822	3095	3
23389	160413	1822	517	3
23393	160451	1822	152	3
23398	160495	1822	2002	3
23400	160508	1822	928	3
23640	162159	1845	1943	3
23754	163112	1856	4355	3
23868	163856	1861	4983	3
24107	165540	1883	1054	3
24112	165557	1883	470	3
24189	166128	1887	129	3
24205	166270	1889	563	3
24277	166828	1906	1760	3
25380	174219	1999	647	3
25469	174809	2003	61	3
25704	176398	2028	630	3
25833	177181	2040	61	3
25835	177198	2040	9	3
25836	177213	2040	376	3
25837	177214	2040	141	3
25869	177430	2042	1185	3
25996	178172	2056	564	3
26184	179317	2066	5454	3
26698	183178	2102	1646	3
26703	183201	2102	2003	3
26741	183387	2102	3499	3
26870	184392	2109	672	3
26907	184534	2109	3647	3
27105	185906	2124	1881	3
27490	188867	2168	6238	3
27930	192287	2209	2021	3
28297	195569	2266	5303	3
28335	196004	2275	616	3
28347	196034	2275	688	3
28356	196077	2275	400	3
28359	196083	2275	2082	3
28360	196086	2275	2677	3
28383	196244	2275	2820	3
28384	196247	2275	2823	3
28398	196293	2275	1386	3
28400	196296	2275	1154	3
28409	196322	2275	301	3
29233	201679	2366	1553	3
29291	202138	2366	2128	3
29779	205381	2403	2079	3
30074	207483	2438	9	3
30802	212965	2520	2100	3
30804	212967	2520	647	3
30814	213033	2520	2874	3
30898	213648	2527	1981	3
31667	219211	2593	1610	3
31841	220400	2614	1494	3
31869	220630	2614	1668	3
31871	220647	2614	258	3
31883	220704	2614	1450	3
31894	220749	2615	1632	3
32035	221792	2625	793	3
32063	221982	2625	552	3
32438	224834	2670	276	3
32462	225067	2675	4469	3
32473	225152	2675	4809	3
32478	225165	2675	5282	3
32479	225167	2675	1559	3
32601	226042	2683	4473	3
32922	228485	2693	2128	3
33012	229055	2698	1741	3
33217	230409	2717	1165	3
33293	230878	2717	552	3
33551	232526	2731	879	3
34409	238668	2798	1551	3
34805	240960	2816	1277	3
35094	243073	2834	4348	3
35114	243192	2834	3195	3
35115	243193	2834	4894	3
35128	243273	2834	90	3
35175	243622	2834	1835	3
35227	243968	2834	2399	3
35678	247132	2887	2152	3
35928	248960	2934	6544	3
35960	249169	2938	1450	3
36107	250321	2957	3363	3
36904	256222	3032	1054	3
36956	256519	3040	1763	3
36957	256528	3040	2925	3
36970	256600	3040	777	3
36975	256643	3040	1409	3
36976	256646	3040	4424	3
37094	257267	3046	2554	3
37107	257337	3046	2299	3
37162	257779	3046	1740	3
37266	258612	3058	67	3
37672	261568	3082	6830	3
37695	261705	3082	1632	3
37740	261995	3082	504	3
37785	262282	3082	1706	3
37825	262535	3085	29	3
37853	262600	3085	2377	3
38031	263709	3101	3546	3
38056	263936	3107	2482	3
38077	264076	3107	111	3
38085	264111	3107	877	3
38197	264821	3116	4407	3
38389	266189	3128	424	3
38455	266647	3135	1881	3
38456	266648	3135	2013	3
38545	267302	3146	3854	3
39136	271633	3210	31	3
39153	271743	3210	3645	3
39285	272861	3229	1763	3
39298	272980	3229	261	3
39993	277516	3298	5785	3
40492	280901	3340	2822	3
40636	281833	3363	4225	3
40798	282826	3376	1892	3
40959	283943	3392	3690	3
40964	283966	3392	2380	3
41356	286407	3419	111	3
41373	286497	3421	676	3
41536	287371	3432	2938	3
41546	287473	3433	1882	3
41926	290028	3455	664	3
42382	293386	3485	3740	3
42933	296485	3520	629	3
42937	296489	3520	633	3
43112	297672	3529	36	3
43115	297690	3529	47	3
43116	297704	3529	1882	3
43118	297714	3529	682	3
43120	297728	3529	68	3
43250	298401	3535	3023	3
43797	302369	3558	2547	3
43971	303507	3560	2532	3
44063	304552	3568	679	3
44210	305530	3577	1037	3
44217	305550	3577	2494	3
44236	305593	3577	1277	3
44278	305783	3577	2226	3
44501	307260	3601	3884	3
44527	307485	3602	68	3
44959	310302	3641	1047	3
45120	311535	3660	709	3
45180	311833	3669	141	3
45220	312064	3673	2190	3
45673	314964	3699	1760	3
45684	315044	3699	9	3
45837	316110	3706	68	3
46193	318425	3731	690	3
46199	318487	3731	543	3
46200	318490	3731	9	3
46202	318495	3731	777	3
46205	318546	3731	152	3
46206	318556	3731	172	3
46207	318559	3731	1963	3
46208	318562	3731	504	3
46317	319296	3736	311	3
46759	322235	3770	2650	3
46969	323533	3775	1090	3
46976	323561	3775	517	3
47551	327447	3837	568	3
47557	327494	3837	1498	3
47561	327503	3837	3911	3
48187	331911	3886	2898	3
48421	333393	3904	1882	3
48441	333508	3904	517	3
48535	334115	3907	694	3
48542	334143	3907	3265	3
48658	334799	3911	1277	3
48985	336650	3927	4348	3
48989	336662	3927	3232	3
49206	337950	3945	3426	3
49616	340404	3973	1216	3
50544	346330	4014	1088	3
50561	346474	4015	5176	3
51181	350057	4043	68	3
51184	350067	4043	1222	3
51331	351152	4056	694	3
51381	351423	4063	6193	3
51690	353378	4077	4805	3
52755	360043	4167	1216	3
52857	360587	4172	3912	3
52976	361305	4186	32	3
52982	361336	4186	146	3
52991	361393	4186	1310	3
53298	363704	4224	286	3
53301	363715	4224	1701	3
53500	364852	4245	928	3
53519	364958	4247	1207	3
53812	367343	4272	2085	3
54067	369110	4308	5097	3
54266	370622	4333	9	3
54665	373529	4378	630	3
54719	373782	4380	1532	3
54735	373866	4382	2083	3
54738	373892	4382	1135	3
54874	374858	4396	563	3
54990	375743	4419	672	3
55066	376177	4425	3232	3
55775	381612	4502	628	3
55996	383312	4527	1741	3
56064	383646	4528	1849	3
56413	386073	4556	1461	3
56433	386189	4556	4596	3
56438	386207	4556	3232	3
56476	386453	4556	2107	3
57604	393480	4631	4445	3
58054	396721	4679	1165	3
58302	398370	4691	68	3
59027	403415	4774	3376	3
59072	403809	4780	1435	3
59576	407584	4819	921	3
59585	407650	4819	1610	3
59586	407654	4819	1932	3
59589	407683	4819	1849	3
59590	407690	4819	969	3
59790	409075	4835	3012	3
59884	409787	4844	1113	3
60434	413989	4894	226	3
60845	417044	4948	981	3
266	1653	15	115	4
270	1677	15	418	4
437	2906	28	521	4
439	2916	28	1370	4
442	2936	28	524	4
458	3168	30	1099	4
472	3308	30	1677	4
501	3477	31	1740	4
645	4326	40	447	4
652	4393	40	779	4
738	5040	44	1981	4
824	5584	50	2021	4
1047	7059	79	613	4
1050	7078	79	2212	4
1057	7128	79	2228	4
1082	7396	81	1849	4
1098	7563	84	27	4
1110	7590	84	632	4
1125	7641	84	2299	4
1133	7722	85	17	4
1149	7843	85	1576	4
1176	8026	88	1088	4
1283	8891	97	2489	4
1293	8915	97	2494	4
1312	8945	97	2037	4
1329	9018	97	658	4
1358	9172	97	2577	4
1396	9385	97	111	4
1424	9485	97	2083	4
1523	10087	97	2832	4
1554	10224	97	2878	4
1642	10740	101	2933	4
1930	12904	125	517	4
2052	13773	138	47	4
2273	15564	170	690	4
2290	15746	172	2100	4
2988	20742	244	1551	4
3214	22382	257	1844	4
3347	23394	274	1763	4
3348	23410	274	1787	4
3352	23450	274	218	4
3353	23455	274	227	4
3354	23457	274	1846	4
3358	23480	274	1890	4
3374	23582	277	261	4
3459	24130	287	1054	4
3537	24723	288	1981	4
3561	24857	289	1881	4
3565	24876	289	1787	4
3567	24891	289	1088	4
3579	24948	289	1589	4
3581	24968	289	2152	4
3583	24976	289	1649	4
3589	25032	289	232	4
3597	25098	290	1881	4
3677	25688	305	34	4
3687	25782	305	1509	4
3689	25791	305	560	4
3701	25861	305	1220	4
3702	25869	305	1222	4
3714	26020	305	517	4
3739	26342	305	424	4
3774	26664	306	564	4
3822	27029	307	951	4
3981	28214	329	1882	4
3996	28304	329	3645	4
4069	28712	332	1277	4
4341	30546	352	2288	4
4374	30785	354	664	4
4378	30818	354	1568	4
4392	30926	354	400	4
4403	31033	354	877	4
4407	31061	354	2751	4
4413	31118	354	3793	4
4427	31200	354	3136	4
4429	31205	354	3798	4
4439	31284	354	232	4
4445	31296	354	3802	4
4464	31422	354	1532	4
4478	31483	354	3123	4
4492	31550	354	311	4
4498	31594	354	1623	4
4501	31601	354	2398	4
4506	31622	354	3499	4
4510	31635	354	3509	4
4518	31689	355	32	4
4520	31693	355	1628	4
4524	31703	355	1164	4
4544	31900	357	1277	4
4565	32025	361	1551	4
4682	32744	369	4172	4
4721	33024	375	47	4
4741	33152	375	2079	4
4743	33171	375	789	4
4751	33222	375	129	4
4753	33242	375	827	4
4764	33348	375	2168	4
4797	33579	375	1435	4
5140	35762	399	3645	4
5267	36449	406	598	4
5314	36667	408	1277	4
5441	37424	410	311	4
5499	37834	416	4400	4
5548	38156	418	779	4
5563	38234	418	2684	4
5575	38285	418	2711	4
5589	38433	418	3798	4
5592	38455	418	1610	4
5649	38760	423	632	4
6074	41231	439	694	4
6080	41261	439	705	4
6112	41503	439	517	4
6120	41599	439	2167	4
6121	41619	439	877	4
6123	41624	439	2168	4
6139	41744	439	1668	4
6161	41865	439	2445	4
6235	42316	448	447	4
6249	42392	448	2142	4
6298	42802	455	2100	4
6302	42806	455	629	4
6307	42811	455	1878	4
6405	43406	469	1881	4
6407	43415	469	1882	4
6427	43530	470	1879	4
6505	43974	479	4696	4
6506	43976	479	1325	4
6518	44047	479	709	4
6522	44079	479	88	4
6541	44163	479	152	4
6544	44200	479	1649	4
6577	44417	482	682	4
6586	44474	484	36	4
6592	44487	484	630	4
6607	44514	484	4172	4
6700	45129	488	694	4
6713	45272	488	2168	4
6738	45443	490	36	4
6765	45597	490	2615	4
6779	45687	490	2152	4
6911	46505	497	90	4
6943	46775	498	1756	4
7070	47739	506	2148	4
7072	47749	506	823	4
7152	48454	519	1031	4
7161	48496	519	1798	4
7263	49530	523	573	4
7284	49686	523	1579	4
7288	49716	523	819	4
7291	49734	523	141	4
7292	49737	523	2458	4
7309	49949	523	1677	4
7320	49999	523	2118	4
7349	50187	526	129	4
7350	50188	526	4852	4
7352	50211	526	2745	4
7459	50948	532	19	4
7463	50985	532	1882	4
7595	51955	544	2192	4
7636	52247	548	1763	4
7932	54288	560	111	4
8204	55930	572	628	4
8536	58147	602	1450	4
8546	58233	606	1610	4
8573	58370	609	34	4
8636	58717	613	4704	4
8642	58767	613	907	4
8854	60174	636	2003	4
8887	60357	641	5114	4
8978	60955	645	658	4
8987	61018	645	9	4
8995	61103	645	1316	4
9135	61945	659	1798	4
9231	62703	680	1435	4
9290	63170	693	2013	4
9487	64395	715	9	4
9539	64717	720	2302	4
9541	64724	720	819	4
9597	65067	726	598	4
9660	65468	735	3856	4
9881	66922	747	4424	4
9911	67144	747	552	4
10136	68524	764	1040	4
10215	68970	769	2925	4
10217	68974	769	2142	4
10364	70021	778	1040	4
10410	70196	778	5316	4
10425	70268	778	1798	4
10491	70588	778	2736	4
10492	70594	778	5264	4
10503	70643	778	5398	4
10668	71763	791	835	4
10676	71817	793	573	4
10692	71871	793	618	4
10694	71882	793	2142	4
11060	74138	814	4407	4
11102	74381	816	1632	4
11108	74402	816	2079	4
11243	75333	831	2288	4
11244	75336	831	34	4
11250	75397	831	47	4
11255	75456	831	61	4
11257	75472	831	4026	4
11258	75477	831	67	4
11266	75575	831	115	4
11268	75620	831	827	4
11276	75713	831	921	4
11291	75786	832	1878	4
11396	76550	852	664	4
11839	80219	912	1869	4
11842	80234	912	286	4
11848	80270	912	2118	4
11851	80294	912	1706	4
11868	80399	912	1453	4
11869	80400	912	5097	4
11875	80429	912	4848	4
11876	80434	912	1310	4
11938	80807	914	2128	4
12420	84211	963	253	4
12457	84446	966	3813	4
12487	84775	970	1009	4
12761	86810	991	3740	4
12766	86834	991	5604	4
12779	86889	991	4487	4
12780	86899	991	4282	4
12794	86985	991	1559	4
12795	86990	991	5617	4
12879	87369	991	5022	4
12977	87917	1003	3636	4
13055	88533	1014	1185	4
13070	88631	1017	1164	4
13083	88756	1017	517	4
13084	88757	1017	2082	4
13098	88885	1017	2152	4
13106	88950	1017	2792	4
13112	89007	1017	2845	4
13511	91855	1047	618	4
13524	91980	1047	1741	4
13726	93396	1063	676	4
14033	95641	1091	504	4
14039	95665	1091	1861	4
14153	96461	1111	3042	4
14165	96514	1112	1551	4
14185	96724	1116	1494	4
14188	96755	1116	4355	4
14199	96814	1116	658	4
14271	97286	1119	5747	4
14275	97311	1119	5761	4
14303	97493	1127	1740	4
14648	99879	1152	517	4
15172	103543	1204	1450	4
15233	103977	1211	1185	4
15255	104120	1213	2033	4
15401	104993	1215	1450	4
15487	105458	1223	951	4
15675	106814	1234	722	4
15832	108024	1247	596	4
15839	108083	1247	2102	4
15853	108283	1247	227	4
15918	108875	1254	827	4
15931	108972	1254	3814	4
15972	109207	1259	613	4
16118	110224	1280	1882	4
16138	110419	1280	2832	4
16141	110430	1280	2847	4
16145	110446	1280	1869	4
16204	111086	1287	4238	4
16211	111123	1287	3023	4
16212	111126	1287	5996	4
16216	111134	1287	1277	4
16268	111472	1289	2389	4
16337	111977	1294	29	4
16561	113399	1310	3099	4
16594	113556	1310	231	4
16612	113633	1310	6061	4
16629	113731	1310	6071	4
16748	114780	1315	1618	4
17074	117211	1332	1632	4
17084	117277	1332	777	4
17085	117280	1332	779	4
17090	117322	1332	2684	4
17092	117338	1332	2458	4
17625	121244	1384	36	4
17683	121631	1392	1494	4
18059	124386	1420	424	4
18221	125418	1431	1347	4
18248	125601	1432	1277	4
18291	125856	1433	2396	4
18753	129141	1469	19	4
18891	130086	1488	1216	4
19071	131346	1503	598	4
19076	131359	1503	1164	4
19249	132612	1507	2911	4
19287	132821	1509	633	4
19297	132871	1509	2084	4
19325	133036	1510	596	4
19330	133061	1510	690	4
19374	133379	1512	1509	4
19406	133701	1516	596	4
19463	134132	1521	152	4
19511	134544	1528	27	4
19669	135420	1538	3768	4
19672	135439	1538	3099	4
19677	135465	1538	521	4
19685	135540	1538	2993	4
19935	136949	1545	2754	4
20017	137409	1545	1677	4
20049	137534	1545	6280	4
20069	137669	1545	1450	4
20077	137715	1545	2128	4
20142	138167	1556	19	4
20143	138185	1556	27	4
20155	138248	1556	3363	4
20165	138303	1556	2079	4
20168	138326	1556	2083	4
20169	138332	1556	827	4
20344	139702	1567	1559	4
20364	139844	1568	1882	4
20431	140194	1571	951	4
20505	140706	1582	61	4
20527	140867	1584	517	4
20760	142815	1612	4668	4
20774	142889	1612	6330	4
21054	144772	1639	1037	4
21056	144779	1639	1881	4
21492	147551	1672	2458	4
21497	147580	1672	3339	4
21501	147605	1672	1135	4
21584	148070	1678	447	4
21801	149596	1693	3472	4
21854	149956	1697	1494	4
22205	152224	1714	19	4
22212	152323	1714	951	4
