	anime_ids	name	genre	type	episodes	rating	members
397	3209	There She Is!!	Comedy,Romance	ONA	5	8.11	13935
403	1579	Karigurashi no Arrietty	Fantasy	Movie	1	8.1	97910
414	1225	Kobato.	Comedy,Drama,Fantasy	TV	24	8.09	88986
417	988	One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai	Adventure,Comedy,Fantasy,Shounen	Special	1	8.09	30516
426	1132	SKET Dance OVA	Comedy,School,Shounen	OVA	1	8.08	11342
427	67	Soul Eater	Action,Adventure,Comedy,Fantasy,Shounen,Supernatural	TV	51	8.08	580184
428	1219	Trigun: Badlands Rumble	Action,Comedy,Sci-Fi	Movie	1	8.08	68181
449	418	Nekomonogatari: Kuro	Comedy,Romance,Supernatural	TV	4	8.06	173264
451	568	School Rumble	Comedy,Romance,School,Shounen	TV	26	8.06	178553
455	1618	Grisaia no Meikyuu: Caprice no Mayu 0	Drama	Special	1	8.05	70039
460	1009	Yakitate!! Japan	Comedy,Shounen	TV	69	8.05	50876
463	400	Durarara!! Specials	Action,Comedy,Supernatural	Special	2	8.04	103105
480	1308	Kono Subarashii Sekai ni Shukufuku wo!	Adventure,Comedy,Fantasy,Supernatural	TV	10	8.03	244877
484	1948	Saint Seiya	Adventure,Fantasy,Sci-Fi,Shounen	TV	114	8.03	70559
489	543	Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen	Drama,Romance,School	Special	1	8.02	138364
493	3580	Magic Kaito	Adventure,Comedy,Romance,Shounen	Special	12	8.02	27274
494	1461	Sakigake!! Cromartie Koukou	Comedy,School,Shounen	TV	26	8.02	67254
510	281	Gekkan Shoujo Nozaki-kun Specials	Comedy,Romance,School	Special	6	8.0	52672
535	613	Neko no Ongaeshi	Adventure,Drama,Fantasy	Movie	1	7.98	92499
546	5066	Lupin III (2015)	Action,Adventure,Comedy,Shounen	TV	24	7.97	16938
577	1841	Kyousou Giga (TV)	Action,Fantasy,Supernatural	TV	10	7.95	67732
578	2061	Magic Kaito 1412	Adventure,Comedy,Romance,Shounen	TV	24	7.95	43545
580	1869	Plastic Memories	Drama,Romance,Sci-Fi	TV	13	7.95	213493
597	573	Last Exile	Action,Adventure,Sci-Fi	TV	26	7.94	104193
605	61	Gake no Ue no Ponyo	Adventure,Fantasy	Movie	1	7.93	140277
609	5002	Hoozuki no Reitetsu OVA	Comedy,Fantasy,Supernatural	OVA	3	7.93	6073
610	1203	Keroro Gunsou	Comedy,Sci-Fi,Shounen	TV	358	7.93	31632
611	1335	Lupin III: Part II	Action,Adventure,Comedy,Shounen	TV	155	7.93	10873
616	2613	Saint Seiya: The Hades Chapter Sanctuary - Yomigaerishi Gold Saint-tachi no Shinwa	Adventure,Sci-Fi,Shounen	Special	2	7.93	4975
641	1771	Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.	Adventure,Drama,Fantasy	Movie	1	7.91	26746
649	4631	Arashi no Yoru ni	Adventure,Comedy,Drama,Fantasy	Movie	1	7.9	11458
659	1898	Michiko to Hatchin	Action,Adventure	TV	22	7.9	82625
663	799	Tegamibachi Reverse	Adventure,Fantasy,Shounen,Supernatural	TV	25	7.9	36228
677	232	Noragami OVA	Action,Adventure,Shounen	OVA	2	7.89	104775
679	4819	Urusei Yatsura Movie 2: Beautiful Dreamer	Action,Adventure,Comedy,Drama,Romance,Sci-Fi	Movie	1	7.89	5663
682	3011	Ansatsu Kyoushitsu (TV) 2nd Season: Kagaijugyou-hen	Action,Comedy,School,Shounen	ONA	8	7.88	7999
686	2507	Black Jack	Drama	OVA	12	7.88	14414
687	286	Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka	Action,Adventure,Comedy,Fantasy,Romance	TV	13	7.88	336349
698	1031	The Law of Ueki	Adventure,Comedy,Drama,Shounen,Supernatural	TV	51	7.88	60027
701	1453	Hai to Gensou no Grimgar	Action,Adventure,Drama,Fantasy	TV	12	7.87	213342
703	3510	Huyao Xiao Hongniang: Yue Hong	Comedy,Romance	ONA	13	7.87	1043
706	1779	Kino no Tabi: The Beautiful World - Byouki no Kuni - For You	Adventure,Drama,Fantasy	Movie	1	7.87	23453
740	6380	Hello! Lady Lynn	Drama	TV	36	7.85	1757
746	383	Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?	Comedy,Fantasy,Supernatural	TV	10	7.85	218231
747	1439	Nanatsu no Taizai OVA	Action,Adventure,Fantasy,Shounen,Supernatural	OVA	2	7.85	37540
750	2287	School Rumble Ichi Gakki Hoshuu	Comedy,Romance,School,Shounen	OVA	2	7.85	40868
753	253	Akame ga Kill!	Action,Adventure,Fantasy	TV	24	7.84	492133
759	226	Hoozuki no Reitetsu	Comedy,Fantasy,Supernatural	TV	13	7.84	47619
776	1988	Kingsglaive: Final Fantasy XV	Action	Movie	1	7.83	15508
781	17	Shaman King	Action,Adventure,Comedy,Drama,Shounen,Supernatural	TV	64	7.83	169517
783	3330	Tetsuwan Birdy Decode:02	Action,Comedy,Sci-Fi	TV	12	7.83	29622
789	1905	Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks	Adventure,Drama,Fantasy,Shounen	Special	1	7.82	43673
809	827	Hoshi wo Ou Kodomo	Adventure,Fantasy,Romance	Movie	1	7.81	76286
814	1310	Kono Subarashii Sekai ni Shukufuku wo! OVA	Comedy,Fantasy	OVA	1	7.81	46823
830	3507	Huyao Xiao Hongniang: Wangquan Fugui	Comedy,Romance,Supernatural	ONA	14	7.8	1119
838	814	Angel Beats! Specials	Action,Comedy,School,Supernatural	Special	2	7.79	139013
846	172	Inu x Boku SS Special	Comedy,Shounen,Supernatural	Special	1	7.79	46803
855	690	Shakugan no Shana II (Second)	Action,Drama,Fantasy,Romance,School,Supernatural	TV	24	7.79	184525
863	455	Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi	Comedy	Special	1	7.78	51688
871	146	Momo e no Tegami	Drama,Supernatural	Movie	1	7.78	30519
878	3180	Ranma ½ Specials	Comedy,Drama,Romance,Shounen	OVA	2	7.78	11084
884	4809	Urusei Yatsura	Action,Adventure,Comedy,Drama,Romance,Sci-Fi	TV	195	7.78	23020
885	1207	Utawarerumono	Action,Drama,Fantasy,Sci-Fi	TV	26	7.78	91034
887	2537	Black Jack 21	Action,Drama	TV	17	7.77	6063
888	327	Digimon Adventure tri. 2: Ketsui	Action,Adventure,Comedy,Drama	Movie	1	7.77	30684
895	29	One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima	Adventure,Comedy,Fantasy,Shounen	Movie	1	7.77	37792
913	365	Lupin III	Action,Adventure,Comedy,Shounen	TV	23	7.76	34373
917	141	No.6	Action,Sci-Fi	TV	11	7.76	168017
920	97	Tegamibachi	Adventure,Fantasy,Shounen,Supernatural	TV	25	7.76	70987
926	1906	Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen	Adventure,Comedy,Fantasy,Sci-Fi,Shounen	Special	1	7.75	46276
935	986	Kyoukai no Kanata Movie: I&#039;ll Be Here - Kako-hen	Action,Fantasy,Supernatural	Movie	1	7.75	42304
937	1989	One Piece: Heart of Gold	Action,Adventure,Comedy,Drama,Fantasy,Shounen	Special	1	7.75	17443
941	4361	Utawarerumono Specials	Action,Comedy,Drama,Fantasy	Special	6	7.75	11149
942	1425	World Trigger	Action,School,Sci-Fi,Shounen,Supernatural	TV	73	7.75	106872
945	2536	Black Jack (TV)	Drama	TV	61	7.74	15552
963	596	Shakugan no Shana	Action,Drama,Fantasy,Romance,School,Supernatural	TV	24	7.74	297058
966	2021	Toriko	Action,Adventure,Comedy,Fantasy,Shounen	TV	147	7.74	54790
972	1100	Katekyo Hitman Reborn! Special	Comedy,Shounen	ONA	1	7.73	19991
973	656	Kekkaishi	Adventure,Comedy,Fantasy,Shounen	TV	52	7.73	61884
978	777	Shakugan no Shana III (Final)	Action,Drama,Fantasy,Romance,Supernatural	TV	24	7.73	133010
982	2918	Ansatsu Kyoushitsu: 365-nichi no Jikan	Action,Comedy,School,Shounen	Movie	1	7.72	14896
984	1879	Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta	Adventure,Comedy,Fantasy,Sci-Fi,Shounen	Movie	1	7.72	56994
986	6980	Ie Naki Ko Remi Specials	Adventure,Drama	Special	3	7.72	781
989	524	Kyoukaisenjou no Horizon II	Action,Fantasy,Sci-Fi	TV	13	7.72	46781
997	4821	Urusei Yatsura Movie 5: Final	Action,Adventure,Comedy,Drama,Romance,Sci-Fi	Movie	1	7.72	2783
1005	3856	Gensoumaden Saiyuuki	Adventure,Comedy,Drama,Shounen,Supernatural	TV	50	7.71	31179
1025	3663	Final Fantasy VII: Advent Children - Venice Film Festival Footage	Action,Drama,Fantasy,Sci-Fi	Movie	1	7.7	6498
1029	3454	Hourou Musuko Specials	Drama,School	Special	2	7.7	4714
1050	3536	Chuuka Ichiban!	Action,Comedy,Drama,Shounen	TV	52	7.69	8586
1051	258	Gugure! Kokkuri-san	Comedy,Shounen,Supernatural	TV	12	7.69	87824
1052	1628	Hanbun no Tsuki ga Noboru Sora	Comedy,Drama,Romance	TV	6	7.69	65125
1054	152	Inu x Boku SS	Comedy,Romance,Shounen,Supernatural	TV	12	7.69	216204
1062	3212	Moyashimon	Comedy,School,Supernatural	TV	11	7.69	44465
1069	195	Zettai Karen Children: The Unlimited - Hyoubu Kyousuke	Shounen,Supernatural	TV	12	7.69	61919
1081	1376	Aura: Maryuuin Kouga Saigo no Tatakai	Comedy,Drama,Romance,School,Supernatural	Movie	1	7.67	22599
1082	5029	City Hunter: Goodbye My Sweetheart	Adventure,Comedy,Shounen	Special	1	7.67	2832
1092	1623	Kiznaiver	Drama,Sci-Fi	TV	12	7.67	197912
1105	276	Digimon Adventure tri. 1: Saikai	Action,Adventure,Comedy,Drama	Movie	1	7.66	58274
1110	5287	Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!	Comedy,Sci-Fi,Shounen	Movie	1	7.66	2430
1128	622	Digimon Tamers	Adventure,Comedy,Drama,Fantasy,Shounen	TV	51	7.65	94391
1133	3773	Kappa no Coo to Natsuyasumi	Adventure,Shounen	Movie	1	7.65	6953
1168	564	Angel Beats!: Another Epilogue	Drama,School,Supernatural	Special	1	7.63	134180
1189	3430	Cardcaptor Sakura Specials	Comedy	Special	3	7.62	18604
1192	1878	Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen	Adventure,Comedy,Fantasy,Sci-Fi,Shounen	Movie	1	7.62	65953
1216	3558	Freedom	Action,Adventure,Sci-Fi	OVA	7	7.61	13918
1224	1728	Planetarian: Chiisana Hoshi no Yume	Drama,Sci-Fi	ONA	5	7.61	38303
1233	6667	Urusei Yatsura OVA	Adventure,Comedy,Sci-Fi	OVA	11	7.61	2470
1234	551	Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA	Comedy,Romance,School	OVA	1	7.61	80676
1237	60	Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru	Action,Adventure,Shounen,Supernatural	Movie	1	7.6	134739
1239	935	Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel	Comedy,School	Special	1	7.6	72085
1240	5030	City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo	Shounen	Special	1	7.6	2506
1245	2343	Hottarake no Shima: Haruka to Mahou no Kagami	Fantasy	Movie	1	7.6	6517
1246	2382	Jibaku-kun	Adventure,Comedy,Fantasy	TV	26	7.6	6036
1260	3666	Shonan Junai Gumi!	Action,Comedy,School	OVA	5	7.6	20261
1263	2120	Tales of Zestiria the X	Action,Adventure,Fantasy	TV	12	7.6	107325
1272	2677	Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview	Comedy	Special	3	7.59	12153
1275	1399	Kyou kara Maou! R	Adventure,Comedy,Fantasy	OVA	5	7.59	14845
1280	333	Noblesse: Pamyeol-ui Sijak	Action,Adventure,Supernatural	OVA	1	7.59	12418
1281	688	One Piece: Straw Hat Theater	Adventure,Fantasy,Shounen	Special	5	7.59	17153
1283	6006	Patapata Hikousen no Bouken	Adventure,Sci-Fi	TV	26	7.59	2629
1291	269	Yamada-kun to 7-nin no Majo (OVA)	Comedy,Romance,School,Shounen	OVA	2	7.59	33816
1303	2084	Level E	Comedy,Sci-Fi,Shounen	TV	13	7.58	55252
1311	1220	Chrome Shelled Regios	Action,Adventure,Fantasy,School,Sci-Fi	TV	24	7.57	103615
1333	1592	Carnival Phantasm EX Season	Comedy,Supernatural	OVA	1	7.56	22955
1345	6501	Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!	Comedy	Movie	1	7.56	2048
1355	1218	Tetsuwan Birdy Decode	Action,Comedy,Sci-Fi	TV	13	7.56	50384
1381	6216	Lupin III: Otakara Henkyaku Daisakusen!!	Adventure,Comedy,Shounen	Special	1	7.55	2871
1383	6928	Masuda Kousuke Gekijou Gag Manga Biyori 2	Comedy	TV	12	7.55	1846
1387	552	Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru	Comedy,Romance,School	TV	10	7.55	179569
1393	1509	True Tears	Drama,Romance,School	TV	13	7.55	118644
1394	802	&quot;Bungaku Shoujo&quot; Memoire	Drama,Romance,School	OVA	3	7.54	18013
1395	1947	Bobobo-bo Bo-bobo	Adventure,Comedy,Sci-Fi,Shounen	TV	76	7.54	39041
1402	1880	Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru	Adventure,Comedy,Fantasy,Sci-Fi,Shounen	Movie	1	7.54	50607
1408	1754	Karas	Action,Fantasy,Sci-Fi	OVA	6	7.54	44108
1432	1763	Pale Cocoon	Drama,Sci-Fi	OVA	1	7.53	44030
1444	3538	Angel Densetsu	Action,Comedy,School	OVA	2	7.52	10795
1451	3028	Harmonie	Drama,School,Supernatural	Movie	1	7.52	29029
1465	3178	Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!	Adventure,Comedy,Shounen	Movie	1	7.52	12418
1470	473	Slayers Evolution-R	Adventure,Comedy,Fantasy	TV	13	7.52	20508
1472	1682	Tales of Zestiria: Doushi no Yoake	Fantasy	Special	1	7.52	23484
1478	1054	Busou Renkin	Action,Comedy,Fantasy,School,Shounen,Supernatural	TV	26	7.51	104607
1482	6470	Doraemon Movie 05: Nobita no Makai Daibouken	Fantasy	Movie	1	7.51	1321
1489	3854	Little Nemo	Adventure,Fantasy	Movie	1	7.51	4886
1490	4637	Maria-sama ga Miteru 3rd Specials	Comedy	Special	5	7.51	5072
1492	563	Mirai Nikki	Action,Shounen,Supernatural	OVA	1	7.51	114217
1503	4210	Winter Sonata	Drama,Romance	TV	26	7.51	13582
1510	6119	Dotto Koni-chan	Comedy	TV	26	7.5	1397
1513	2395	Gatchaman Crowds: Embrace	Adventure,Sci-Fi	Special	1	7.5	10757
1520	2398	Kono Bijutsubu ni wa Mondai ga Aru!	Comedy,Romance,School	TV	12	7.5	69088
1521	6103	Lupin III: Part III	Action,Adventure,Comedy,Shounen	TV	50	7.5	6883
1530	1372	Sakasama no Patema: Beginning of the Day	Sci-Fi	Special	4	7.5	16933
1532	1087	Tengen Toppa Gurren Lagann Movie: Lagann-hen Special - Viral no Amai Yume	Comedy	OVA	1	7.5	19219
1534	2532	Yuu☆Yuu☆Hakusho: Eizou Hakusho II	Action,Adventure,Comedy,Shounen,Supernatural	OVA	4	7.5	6166
1544	201	Love Lab	Comedy,Romance,School	TV	13	7.49	79493
1546	1788	Mai-Otome 0: S.ifr	Sci-Fi	OVA	3	7.49	11171
1547	5462	Maison Ikkoku: Kanketsu-hen	Comedy,Drama,Romance	Movie	1	7.49	3109
1549	649	One Piece: Mamore! Saigo no Dai Butai	Adventure,Comedy,Fantasy,Shounen	Special	1	7.49	16495
1551	1090	Pandora Hearts Specials	Comedy	Special	9	7.49	32103
1555	769	Shakugan no Shana S	Action,Drama,Fantasy,Romance,School,Supernatural	OVA	4	7.49	53129
1561	5642	Tibet Inu Monogatari	Adventure	Movie	1	7.49	2647
1569	1921	Carnival Phantasm: HibiChika Special	Comedy,Supernatural	Special	1	7.48	14893
1572	3739	Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka	Adventure,Shounen,Supernatural	Movie	1	7.48	6442
1578	3495	Huyao Xiao Hongniang	Comedy,Romance	ONA	13	7.48	2696
1581	6500	Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!	Action,Adventure,Comedy,Drama,Sci-Fi,Shounen	Movie	1	7.48	2941
1582	695	Kimikiss Pure Rouge	Drama,Romance,School	TV	24	7.48	58211
1584	4453	Lupin III: Kutabare! Nostradamus	Action,Adventure,Comedy,Shounen	Movie	1	7.48	4383
1595	2908	Yankee-kun na Yamada-kun to Megane-chan to Majo	Comedy,School,Shounen	Special	1	7.48	7170
1598	2531	Yuu☆Yuu☆Hakusho: Eizou Hakusho	Action,Adventure,Shounen,Supernatural	OVA	2	7.48	6352
1608	4267	Futatsu no Spica	Drama,School,Sci-Fi,Supernatural	TV	20	7.47	5894
1609	218	Gatchaman Crowds	Adventure,Sci-Fi	TV	12	7.47	107513
1610	1978	Gatchaman Crowds Insight	Adventure,Sci-Fi	TV	12	7.47	41220
1616	1844	Hitsugi no Chaika	Action,Adventure,Comedy,Fantasy,Romance,Shounen	TV	12	7.47	164510
1620	6121	Legendz: Yomigaeru Ryuuou Densetsu	Action,Adventure,Comedy,Fantasy	TV	50	7.47	1370
1624	5511	Mei to Koneko Bus	Adventure,Fantasy	Special	1	7.47	7714
1638	1798	Tales of the Abyss	Adventure,Drama,Fantasy	TV	26	7.47	74901
1645	2576	Zettai Karen Children	Action,Comedy,Shounen,Supernatural	TV	51	7.47	25876
1646	3300	Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai	Romance,School	Movie	1	7.47	35058
1648	3084	Cardcaptor Sakura: Leave It to Kero-chan	Comedy	Movie	1	7.46	20410
1653	598	Final Fantasy VII: Last Order	Action,Adventure,Drama,Fantasy,Sci-Fi	OVA	1	7.46	48041
1654	337	Fukigen na Mononokean	Comedy,Supernatural	TV	13	7.46	44786
1667	607	One Piece Movie 7: Karakuri-jou no Mecha Kyohei	Adventure,Comedy,Fantasy,Shounen	Movie	1	7.46	33028
1670	1760	Rec	Comedy,Drama,Romance	TV	9	7.46	68951
1675	664	Shakugan no Shana Movie	Action,Fantasy,Supernatural	Movie	1	7.46	43962
1687	2504	Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki	Drama	Special	4	7.45	3174
1691	1164	Fullmetal Alchemist: Premium Collection	Comedy,Fantasy,Shounen	OVA	3	7.45	44313
1694	1016	Groove Adventure Rave	Adventure,Comedy,Fantasy,Romance,Shounen	TV	51	7.45	56353
1697	3644	Hatsukoi Limited	Comedy,Romance,School,Shounen	TV	12	7.45	54796
1704	3231	Mahoraba: Heartful days	Comedy,Drama,Romance,Shounen	TV	26	7.45	16764
1706	3371	Natsu no Arashi! Akinaichuu	Comedy,Romance,Supernatural	TV	13	7.45	12088
1712	2612	Saint Seiya: Soushuuhen	Adventure,Fantasy,Sci-Fi,Shounen	Special	1	7.45	4031
1718	1157	Steins;Gate: Soumei Eichi no Cognitive Computing	Comedy	ONA	4	7.45	34426
1731	3714	El Hazard: The Magnificent World	Adventure,Comedy,Fantasy,Romance	OVA	7	7.44	10130
1734	4476	Galaxy Angel 3	Comedy,Sci-Fi	TV	26	7.44	6244
1739	68	Nabari no Ou	Action,Comedy,Drama,Fantasy,Shounen,Supernatural	TV	26	7.44	107384
1742	672	One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi	Action,Adventure,Fantasy,Shounen	Movie	1	7.44	31909
1750	2129	Tales of Zestiria the X: Saiyaku no Jidai	Action,Fantasy	Special	1	7.44	26647
1752	5914	Tegamibachi Gakuen	Comedy	Special	25	7.44	6649
1757	4667	Damekko Doubutsu	Comedy	TV	26	7.43	8024
1766	184	Hori-san to Miyamura-kun	Comedy,Romance,School,Shounen	OVA	3	7.43	26535
1769	1795	Kannagi	Comedy,School,Shounen,Supernatural	TV	13	7.43	94202
1771	3140	Kiba	Adventure,Fantasy,Shounen	TV	51	7.43	47651
1775	682	Naruto: Shippuuden Movie 1	Action,Adventure,Comedy,Fantasy,Shounen	Movie	1	7.43	108170
1779	5978	Oseam	Adventure,Drama	Movie	1	7.43	3648
1783	4338	Robot Carnival	Fantasy,Sci-Fi	OVA	1	7.43	7213
1792	4687	Tobe! Isami	Action,Adventure,Comedy,Romance,Shounen	TV	50	7.43	854
1796	1984	Ansatsu Kyoushitsu (TV): Deai no Jikan	Action,Comedy,School,Shounen	Special	1	7.42	29382
1798	2529	Black Jack: Futari no Kuroi Isha	Drama	Movie	1	7.42	2634
1799	1784	Cheonnyeon-yeowoo Yeowoobi	Drama,Fantasy,Sci-Fi	Movie	1	7.42	9045
1801	2107	Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku	Action,Adventure,Comedy,Fantasy,Shounen	TV	24	7.42	12505
1804	6555	Doraemon Movie 13: Nobita to Kumo no Oukoku	Adventure,Comedy	Movie	1	7.42	1817
1815	1946	MÄR	Action,Adventure,Comedy,Fantasy,Shounen	TV	102	7.42	28968
1818	1977	Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA	Comedy,Romance,School	OVA	1	7.42	35583
1821	2372	Saint Seiya: Shinku no Shounen Densetsu	Adventure,Fantasy,Sci-Fi,Shounen	Movie	1	7.42	8849
1822	2376	Saint Seiya: Tenkai-hen Josou - Overture	Adventure,Sci-Fi,Shounen	Movie	1	7.42	11705
1834	1513	Allison to Lillia	Action,Adventure,Shounen	TV	26	7.41	27571
1848	1041	Konjiki no Gash Bell!!: 101 Banme no Mamono	Adventure,Shounen,Supernatural	Movie	1	7.41	4425
1849	5205	Maria-sama ga Miteru 4th Specials	Comedy	Special	11	7.41	3659
1852	694	Myself; Yourself	Drama,Romance,School	TV	13	7.41	115075
1854	5138	One Piece: Episode of Alabasta - Prologue	Action,Adventure,Fantasy,Shounen	OVA	1	7.41	4225
1856	1409	Plastic Neesan	Comedy,School	ONA	12	7.41	83977
1870	2980	Choujigen Game Neptune The Animation OVA	Action,Comedy,Fantasy,Sci-Fi	OVA	1	7.4	16067
1872	6471	Doraemon Movie 01: Nobita no Kyouryuu	Adventure,Comedy	Movie	1	7.4	1773
1881	928	Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki	Fantasy,Supernatural	OVA	1	7.4	44450
1883	3368	Natsu no Arashi!	Comedy,Romance,Supernatural	TV	13	7.4	30098
1885	1240	Nogizaka Haruka no Himitsu: Finale	Comedy,Romance	OVA	4	7.4	20660
1888	4886	Ramayana: The Legend of Prince Rama	Adventure	Movie	1	7.4	517
1894	3370	Tetsuwan Birdy Decode: The Cipher	Action,Comedy,Sci-Fi	OVA	1	7.4	12944
