id,insta_follower,tiktok,youtube,categories,price_category
1121,HIGH,HIGH,HIGH,Sci-Fi,HIGH
148,HIGH,HIGH,HIGH,"Drama,Romance,Supernatural",HIGH
287,HIGH,HIGH,HIGH,"School,Shounen",HIGH
3301,MEDIUM,MEDIUM,MEDIUM,"Action,Comedy,Sci-Fi,Shounen",MEDIUM
1316,HIGH,HIGH,HIGH,"Action,Adventure,Drama,Shounen,Supernatural",HIGH
1577,MEDIUM,HIGH,HIGH,"Action,Comedy,Sci-Fi,Shounen",HIGH
441,HIGH,HIGH,HIGH,"Action,Supernatural",HIGH
257,HIGH,HIGH,HIGH,"Action,Drama,Sci-Fi",HIGH
1434,MEDIUM,HIGH,HIGH,Drama,HIGH
2987,MEDIUM,HIGH,HIGH,"Comedy,Sci-Fi",HIGH
292,HIGH,HIGH,HIGH,"Adventure,Supernatural",HIGH
389,HIGH,HIGH,HIGH,Drama,HIGH
209,HIGH,HIGH,HIGH,"Comedy,School,Shounen",HIGH
1079,MEDIUM,HIGH,HIGH,"Comedy,Drama,Romance",MEDIUM
1206,HIGH,HIGH,HIGH,"Action,Sci-Fi",HIGH
742,HIGH,HIGH,HIGH,"Action,Romance,Supernatural",HIGH
939,MEDIUM,HIGH,MEDIUM,Action,MEDIUM
579,HIGH,HIGH,HIGH,"Comedy,Drama,School,Shounen",HIGH
2798,MEDIUM,MEDIUM,MEDIUM,School,MEDIUM
328,HIGH,HIGH,HIGH,"Action,Comedy,Supernatural",HIGH
39,HIGH,HIGH,HIGH,"Comedy,Drama,Romance",HIGH
678,HIGH,HIGH,HIGH,"Action,Comedy,Supernatural",HIGH
985,MEDIUM,HIGH,HIGH,"Adventure,Fantasy,Supernatural",MEDIUM
202,HIGH,HIGH,HIGH,"Action,Drama,Fantasy,Shounen",HIGH
139,HIGH,HIGH,HIGH,"Comedy,Drama,Romance,Shounen",HIGH
1086,MEDIUM,HIGH,HIGH,"Comedy,Drama,Romance,School",HIGH
3110,MEDIUM,MEDIUM,MEDIUM,"Romance,School",MEDIUM
540,HIGH,HIGH,HIGH,"Action,Sci-Fi",HIGH
170,HIGH,HIGH,HIGH,"Drama,Sci-Fi,Supernatural",HIGH
1824,MEDIUM,HIGH,HIGH,"Action,Drama,Sci-Fi",HIGH
180,HIGH,HIGH,HIGH,Drama,HIGH
376,HIGH,HIGH,HIGH,"Action,Fantasy,Supernatural",HIGH
911,HIGH,HIGH,HIGH,"Action,Adventure,Shounen,Supernatural",HIGH
135,HIGH,HIGH,HIGH,Drama,HIGH
403,HIGH,HIGH,HIGH,"Comedy,School",HIGH
173,HIGH,HIGH,HIGH,"Action,Sci-Fi",HIGH
1385,HIGH,HIGH,HIGH,Comedy,HIGH
1160,MEDIUM,HIGH,HIGH,"Comedy,School,Shounen",MEDIUM
214,HIGH,HIGH,HIGH,"Action,Adventure,Fantasy,Shounen",HIGH
411,HIGH,HIGH,HIGH,Drama,HIGH
1124,MEDIUM,MEDIUM,MEDIUM,"Comedy,Drama",MEDIUM
533,HIGH,HIGH,HIGH,"Action,Adventure,Comedy,Shounen",HIGH
329,HIGH,HIGH,HIGH,"School,Shounen",HIGH
99,HIGH,HIGH,HIGH,"Action,Adventure,Romance",HIGH
1591,HIGH,HIGH,HIGH,Drama,HIGH
1094,MEDIUM,HIGH,MEDIUM,"Comedy,Drama",MEDIUM
1469,HIGH,HIGH,HIGH,"Fantasy,Supernatural",HIGH
1865,HIGH,HIGH,HIGH,"Comedy,Drama",HIGH
1063,MEDIUM,MEDIUM,MEDIUM,Drama,MEDIUM
575,HIGH,HIGH,HIGH,"Action,Adventure,Shounen",HIGH
307,HIGH,HIGH,HIGH,"Action,Adventure,Shounen,Supernatural",HIGH
166,HIGH,HIGH,HIGH,"Drama,Romance,School",HIGH
32,HIGH,HIGH,HIGH,"Adventure,Comedy,Supernatural",HIGH
388,HIGH,HIGH,HIGH,"Action,Sci-Fi",HIGH
34,HIGH,HIGH,HIGH,"Adventure,Fantasy",HIGH
224,HIGH,HIGH,HIGH,"Adventure,Comedy,Fantasy,Supernatural",HIGH
4313,MEDIUM,MEDIUM,MEDIUM,"Adventure,Drama",MEDIUM
1887,HIGH,HIGH,HIGH,"Action,Comedy,Fantasy,School,Shounen",HIGH
1757,HIGH,HIGH,HIGH,"Action,Adventure",HIGH
160,HIGH,HIGH,HIGH,"Comedy,School,Shounen",HIGH
2294,HIGH,HIGH,HIGH,"Comedy,Drama,Romance",HIGH
370,HIGH,HIGH,HIGH,"Adventure,Fantasy,Romance",HIGH
1306,HIGH,HIGH,HIGH,"Action,Fantasy,Supernatural",HIGH
1117,HIGH,HIGH,HIGH,Sci-Fi,HIGH
1158,HIGH,HIGH,HIGH,"Action,Fantasy,Shounen,Supernatural",HIGH
3444,MEDIUM,HIGH,HIGH,"Drama,Fantasy",MEDIUM
1915,HIGH,HIGH,HIGH,Supernatural,HIGH
532,HIGH,HIGH,HIGH,"Drama,Sci-Fi",HIGH
76,HIGH,HIGH,HIGH,"Comedy,Romance,School",HIGH
560,HIGH,HIGH,HIGH,"Adventure,Drama,Romance,Sci-Fi",HIGH
689,MEDIUM,HIGH,HIGH,"Action,Adventure,Drama,Fantasy,Romance,Shounen",MEDIUM
1986,HIGH,HIGH,HIGH,"Comedy,Supernatural",HIGH
14,HIGH,HIGH,HIGH,"Action,Adventure,Comedy,Romance",HIGH
681,HIGH,HIGH,HIGH,"Action,Adventure",HIGH
2174,MEDIUM,MEDIUM,MEDIUM,"Adventure,Shounen",MEDIUM
1148,HIGH,HIGH,HIGH,"Action,Fantasy,Shounen,Supernatural",HIGH
1033,MEDIUM,HIGH,HIGH,"Comedy,Drama,Shounen",MEDIUM
1256,HIGH,HIGH,HIGH,"Action,Adventure,Fantasy,Shounen,Supernatural",HIGH
74,HIGH,HIGH,HIGH,"Drama,Fantasy,Supernatural",HIGH
719,HIGH,HIGH,HIGH,"Action,Adventure,Comedy,Drama,Fantasy,Shounen",HIGH
537,HIGH,HIGH,HIGH,Supernatural,HIGH
1011,MEDIUM,HIGH,HIGH,"Action,Adventure,Shounen",MEDIUM
1013,MEDIUM,HIGH,HIGH,"Action,Adventure,Shounen",MEDIUM
1423,MEDIUM,HIGH,HIGH,"Comedy,Fantasy,Shounen,Supernatural",MEDIUM
1032,MEDIUM,HIGH,HIGH,"Comedy,Drama,Shounen",MEDIUM
1484,HIGH,HIGH,HIGH,"Comedy,Drama,Shounen",HIGH
1935,HIGH,HIGH,HIGH,"Action,Adventure,Drama,Fantasy,Romance,Supernatural",HIGH
530,HIGH,HIGH,HIGH,"Action,Drama,Sci-Fi",HIGH
1055,MEDIUM,MEDIUM,MEDIUM,"Drama,Shounen",MEDIUM
2055,MEDIUM,HIGH,HIGH,"Action,Drama,Sci-Fi",MEDIUM
963,MEDIUM,MEDIUM,MEDIUM,"Drama,Fantasy,Supernatural",MEDIUM
46,HIGH,HIGH,HIGH,"Comedy,Drama,Romance",HIGH
3073,MEDIUM,HIGH,HIGH,"Adventure,Drama,Romance",MEDIUM
413,HIGH,HIGH,HIGH,"Comedy,Drama,Romance,School",HIGH
9,HIGH,HIGH,HIGH,"Action,Comedy,Drama,School,Supernatural",HIGH
369,HIGH,HIGH,HIGH,"Romance,Supernatural",HIGH
592,MEDIUM,HIGH,HIGH,"Comedy,Shounen",MEDIUM
525,MEDIUM,HIGH,HIGH,"Action,Adventure,Comedy,Drama,Fantasy,Shounen",HIGH
37,HIGH,HIGH,HIGH,"Comedy,Romance,School",HIGH
3141,MEDIUM,HIGH,HIGH,"Action,Shounen",MEDIUM
103,HIGH,HIGH,HIGH,"Action,Supernatural",HIGH
2417,MEDIUM,HIGH,HIGH,"Comedy,Romance",MEDIUM
1939,HIGH,HIGH,HIGH,"Drama,Romance,Sci-Fi",HIGH
341,MEDIUM,HIGH,HIGH,Sci-Fi,MEDIUM
31,HIGH,HIGH,HIGH,"Adventure,Fantasy,Romance,Sci-Fi",HIGH
1575,MEDIUM,HIGH,MEDIUM,"Action,Comedy,Sci-Fi",MEDIUM
2292,MEDIUM,HIGH,HIGH,"Drama,Romance",MEDIUM
372,HIGH,HIGH,HIGH,"Action,Adventure,Comedy,Fantasy,Romance,Shounen,Supernatural",HIGH
930,MEDIUM,HIGH,HIGH,Fantasy,MEDIUM
50,HIGH,HIGH,HIGH,"Action,Comedy,Shounen",HIGH
251,HIGH,HIGH,HIGH,"Comedy,Fantasy,Shounen,Supernatural",HIGH
368,HIGH,HIGH,HIGH,"Adventure,Fantasy,Romance",HIGH
325,HIGH,HIGH,HIGH,"Action,Comedy,School,Shounen",HIGH
1139,MEDIUM,HIGH,MEDIUM,"Comedy,School,Shounen",MEDIUM
949,MEDIUM,HIGH,HIGH,"Comedy,Drama,Romance,School,Supernatural",HIGH
1106,MEDIUM,MEDIUM,MEDIUM,"Comedy,Drama",MEDIUM
2680,MEDIUM,HIGH,HIGH,"Action,Adventure,Shounen,Supernatural",MEDIUM
1105,HIGH,HIGH,HIGH,"Comedy,School,Shounen",HIGH
115,HIGH,HIGH,HIGH,"Comedy,Romance,Shounen",HIGH
161,HIGH,HIGH,HIGH,"Comedy,School,Shounen",HIGH
206,HIGH,HIGH,HIGH,"Drama,Romance",HIGH
995,MEDIUM,HIGH,HIGH,"Fantasy,Supernatural",MEDIUM
1067,MEDIUM,HIGH,MEDIUM,"Comedy,Drama,Shounen",MEDIUM
967,MEDIUM,HIGH,HIGH,Drama,MEDIUM
2123,MEDIUM,HIGH,HIGH,"Comedy,Romance",MEDIUM
1263,HIGH,HIGH,HIGH,"Action,Sci-Fi",HIGH
131,HIGH,HIGH,HIGH,Comedy,HIGH
1002,MEDIUM,HIGH,HIGH,"Action,School,Shounen",MEDIUM
2701,MEDIUM,MEDIUM,MEDIUM,"Action,Comedy,Drama",MEDIUM
1992,MEDIUM,HIGH,HIGH,"Action,Adventure,Drama,Fantasy,Romance",MEDIUM
1720,MEDIUM,HIGH,HIGH,Sci-Fi,MEDIUM
697,MEDIUM,HIGH,HIGH,"Comedy,Drama,Supernatural",MEDIUM
1920,MEDIUM,HIGH,HIGH,"Action,Adventure,Drama,Fantasy,Supernatural",MEDIUM
289,HIGH,HIGH,HIGH,Drama,HIGH
449,HIGH,HIGH,HIGH,"Action,Adventure,Comedy,Drama,Fantasy,Shounen",HIGH
1012,MEDIUM,HIGH,HIGH,"Action,Adventure,Shounen",MEDIUM
1362,HIGH,HIGH,HIGH,"Action,Sci-Fi",HIGH
151,HIGH,HIGH,HIGH,Drama,HIGH
6641,MEDIUM,MEDIUM,MEDIUM,"Action,Shounen",MEDIUM
363,HIGH,HIGH,HIGH,"Action,Adventure,Comedy,Fantasy,Shounen",HIGH
1156,HIGH,HIGH,HIGH,"Action,Fantasy,Shounen,Supernatural",HIGH
1890,MEDIUM,HIGH,HIGH,"Drama,Romance,School",HIGH
612,HIGH,HIGH,HIGH,"Adventure,Drama,Fantasy,Romance",HIGH
200,HIGH,HIGH,HIGH,"Drama,Fantasy,Romance",HIGH
385,HIGH,HIGH,HIGH,"Action,Drama,Sci-Fi",HIGH
5151,MEDIUM,MEDIUM,MEDIUM,"Action,Adventure,Comedy,Drama,Fantasy,Shounen",MEDIUM
1762,HIGH,HIGH,HIGH,"Comedy,Drama",HIGH
359,HIGH,HIGH,HIGH,"Action,Comedy,Sci-Fi",HIGH
1089,MEDIUM,HIGH,HIGH,Supernatural,MEDIUM
1584,MEDIUM,MEDIUM,MEDIUM,"Action,Comedy,Sci-Fi,Shounen",MEDIUM
1590,HIGH,HIGH,HIGH,Drama,HIGH
407,MEDIUM,HIGH,HIGH,"Comedy,Drama,Romance",MEDIUM
981,HIGH,HIGH,HIGH,"Comedy,Drama,Romance,School",HIGH
5277,MEDIUM,HIGH,HIGH,"Comedy,Romance,School",MEDIUM
3082,MEDIUM,HIGH,HIGH,"Fantasy,Sci-Fi,Shounen",MEDIUM
1053,HIGH,HIGH,HIGH,Action,HIGH
7,HIGH,HIGH,HIGH,"Comedy,Drama,Romance,School,Supernatural",HIGH
933,HIGH,HIGH,HIGH,"Comedy,Romance,Shounen,Supernatural",HIGH
88,HIGH,HIGH,HIGH,"Comedy,Sci-Fi",HIGH
713,HIGH,HIGH,HIGH,"Action,Comedy,Supernatural",HIGH
3142,MEDIUM,MEDIUM,MEDIUM,"Action,Shounen",MEDIUM
2298,MEDIUM,HIGH,HIGH,"Adventure,Romance,Sci-Fi",MEDIUM
955,MEDIUM,MEDIUM,MEDIUM,"Action,Adventure,Comedy,Drama,Fantasy,Shounen",MEDIUM
1198,MEDIUM,HIGH,HIGH,"Comedy,Drama,Fantasy,Romance",MEDIUM
593,MEDIUM,HIGH,MEDIUM,"Comedy,Shounen",MEDIUM
275,HIGH,HIGH,HIGH,"Comedy,Fantasy,Romance,Supernatural",HIGH
77,HIGH,HIGH,HIGH,"Comedy,Drama,Romance",HIGH
265,MEDIUM,HIGH,HIGH,"Comedy,Drama,Shounen",MEDIUM
1912,HIGH,HIGH,HIGH,"Drama,Sci-Fi,Supernatural",HIGH
30,HIGH,HIGH,HIGH,"Adventure,Comedy,Drama,Fantasy,Romance",HIGH
2416,MEDIUM,HIGH,HIGH,"Comedy,Romance",MEDIUM
916,MEDIUM,HIGH,HIGH,"Action,Adventure,Comedy,Drama,Fantasy,Shounen",MEDIUM
2198,MEDIUM,HIGH,HIGH,Comedy,MEDIUM
1255,MEDIUM,HIGH,HIGH,"Comedy,Sci-Fi",MEDIUM
1286,MEDIUM,HIGH,HIGH,Drama,MEDIUM
70,HIGH,HIGH,HIGH,Comedy,HIGH
394,HIGH,HIGH,HIGH,Sci-Fi,HIGH
785,MEDIUM,HIGH,HIGH,Sci-Fi,MEDIUM
108,HIGH,HIGH,HIGH,"Comedy,Romance,School",HIGH
2374,MEDIUM,HIGH,HIGH,"Adventure,Sci-Fi,Shounen",MEDIUM
670,HIGH,HIGH,HIGH,"Action,Sci-Fi",HIGH
2173,MEDIUM,MEDIUM,MEDIUM,"Adventure,Comedy,Shounen",MEDIUM
1137,HIGH,HIGH,HIGH,"Comedy,School,Shounen",HIGH
248,HIGH,HIGH,HIGH,"Action,Adventure,Comedy,Fantasy,Shounen",HIGH
964,HIGH,HIGH,HIGH,"Action,Adventure,Drama,Shounen,Supernatural",HIGH
3776,MEDIUM,HIGH,MEDIUM,"Comedy,Drama,Romance",MEDIUM
1860,MEDIUM,HIGH,HIGH,"Comedy,School",MEDIUM
654,HIGH,HIGH,HIGH,"Action,Comedy,School,Shounen",HIGH
3564,MEDIUM,MEDIUM,LOW,"Adventure,Drama,Sci-Fi,Shounen",MEDIUM
261,HIGH,HIGH,HIGH,"Comedy,Romance,School",HIGH
3512,MEDIUM,HIGH,HIGH,"Action,Drama",MEDIUM
395,HIGH,HIGH,HIGH,"Comedy,Drama,Romance",HIGH
1378,MEDIUM,HIGH,HIGH,"Drama,Romance",HIGH
873,MEDIUM,HIGH,HIGH,Action,MEDIUM
118,HIGH,HIGH,HIGH,Comedy,HIGH
182,HIGH,HIGH,HIGH,"Action,Adventure,Fantasy,Shounen",HIGH
1783,HIGH,HIGH,HIGH,"Action,Drama,Sci-Fi",HIGH
300,HIGH,HIGH,HIGH,"Romance,School",HIGH
2385,MEDIUM,HIGH,HIGH,"Action,Adventure,Shounen,Supernatural",MEDIUM
665,HIGH,HIGH,HIGH,"Action,Adventure,Fantasy",HIGH
1261,HIGH,HIGH,HIGH,"Action,Adventure,Comedy,Fantasy,Romance",HIGH
2176,MEDIUM,HIGH,MEDIUM,"Adventure,Comedy,Shounen",MEDIUM
1429,HIGH,HIGH,HIGH,"Action,Supernatural",HIGH
1155,MEDIUM,HIGH,HIGH,"Comedy,School",MEDIUM
4666,MEDIUM,MEDIUM,MEDIUM,Drama,MEDIUM
374,HIGH,HIGH,HIGH,"Drama,Romance",HIGH
875,MEDIUM,HIGH,HIGH,"Comedy,Drama,Shounen",MEDIUM
1491,MEDIUM,HIGH,HIGH,"Action,Drama",HIGH
427,HIGH,HIGH,HIGH,"Action,Comedy,School",HIGH
1608,HIGH,HIGH,HIGH,"Comedy,Romance",HIGH
1463,HIGH,HIGH,HIGH,Drama,HIGH
2935,MEDIUM,HIGH,HIGH,"Comedy,Fantasy,Romance",MEDIUM
1371,HIGH,HIGH,HIGH,Sci-Fi,HIGH
1799,MEDIUM,HIGH,HIGH,"Action,Adventure,Drama,Fantasy,Romance,Shounen,Supernatural",MEDIUM
1059,MEDIUM,MEDIUM,MEDIUM,Drama,MEDIUM
101,HIGH,HIGH,HIGH,"Action,Adventure,Comedy,Fantasy,Shounen",HIGH
2512,MEDIUM,HIGH,HIGH,Sci-Fi,MEDIUM
322,MEDIUM,HIGH,HIGH,"Action,Adventure,Fantasy,Shounen",MEDIUM
2484,MEDIUM,HIGH,HIGH,"Drama,Fantasy",MEDIUM
718,MEDIUM,HIGH,HIGH,"Action,Comedy",MEDIUM
2178,MEDIUM,MEDIUM,MEDIUM,"Adventure,Comedy,Shounen",MEDIUM
59,HIGH,HIGH,HIGH,"Action,Sci-Fi",HIGH
447,HIGH,HIGH,HIGH,"Action,Comedy,School",HIGH
3259,MEDIUM,MEDIUM,MEDIUM,"Action,Drama,Sci-Fi",MEDIUM
711,HIGH,HIGH,HIGH,"Action,Drama,Supernatural",MEDIUM
1794,HIGH,HIGH,HIGH,"Action,Drama,Sci-Fi",MEDIUM
408,HIGH,HIGH,HIGH,"Comedy,Supernatural",HIGH
1923,HIGH,HIGH,HIGH,"Comedy,Supernatural",HIGH
1426,HIGH,HIGH,HIGH,"Action,Comedy,School,Shounen",HIGH
2897,MEDIUM,MEDIUM,MEDIUM,"Fantasy,Sci-Fi,Shounen",MEDIUM
282,MEDIUM,HIGH,MEDIUM,"Romance,School,Shounen",MEDIUM
47,HIGH,HIGH,HIGH,"Action,Adventure,Comedy,Shounen",HIGH
3261,MEDIUM,MEDIUM,MEDIUM,"Action,Sci-Fi",MEDIUM
1427,MEDIUM,MEDIUM,MEDIUM,"Action,Comedy,Sci-Fi,Shounen",MEDIUM
1336,MEDIUM,HIGH,HIGH,"Adventure,Comedy,Shounen",MEDIUM
1096,MEDIUM,HIGH,MEDIUM,Comedy,MEDIUM
3115,MEDIUM,HIGH,HIGH,"Adventure,Comedy,Drama,Fantasy,Romance",MEDIUM
3165,MEDIUM,HIGH,HIGH,"Comedy,Drama,Romance",MEDIUM
416,HIGH,HIGH,HIGH,"Drama,Supernatural",MEDIUM
3006,MEDIUM,HIGH,HIGH,"Adventure,Comedy,Drama,Sci-Fi",MEDIUM
588,HIGH,HIGH,HIGH,"Adventure,Drama,Romance,Sci-Fi",HIGH
2551,MEDIUM,HIGH,HIGH,"Action,Sci-Fi",MEDIUM
1588,MEDIUM,MEDIUM,MEDIUM,"Action,Comedy",MEDIUM
2241,MEDIUM,MEDIUM,MEDIUM,"Comedy,School",MEDIUM
1010,MEDIUM,HIGH,HIGH,"Comedy,Shounen,Supernatural",MEDIUM
91,HIGH,HIGH,HIGH,"Romance,School",HIGH
924,HIGH,HIGH,HIGH,"Comedy,Drama,Romance,School,Supernatural",HIGH
397,HIGH,HIGH,HIGH,Drama,HIGH
1195,HIGH,HIGH,HIGH,"Adventure,Comedy,Drama,Fantasy,Romance,School",HIGH
732,HIGH,HIGH,HIGH,"Drama,Romance,Supernatural",HIGH
1134,HIGH,HIGH,HIGH,"Comedy,School,Shounen",HIGH
1910,HIGH,HIGH,HIGH,"Comedy,Drama,Romance",HIGH
3088,MEDIUM,MEDIUM,MEDIUM,"Comedy,Drama,Romance",MEDIUM
2196,MEDIUM,HIGH,HIGH,School,MEDIUM
3037,MEDIUM,HIGH,HIGH,"Comedy,Drama,Romance",MEDIUM
1867,HIGH,HIGH,HIGH,"Comedy,Romance",MEDIUM
535,HIGH,HIGH,HIGH,Action,HIGH
3147,MEDIUM,MEDIUM,MEDIUM,"Action,Shounen",MEDIUM
1565,MEDIUM,HIGH,HIGH,"Action,Fantasy",HIGH
42,HIGH,HIGH,HIGH,Supernatural,HIGH
163,HIGH,HIGH,HIGH,School,HIGH
1467,MEDIUM,HIGH,HIGH,"Adventure,Drama,Sci-Fi",MEDIUM
459,HIGH,HIGH,HIGH,"Drama,Romance,Supernatural",HIGH
132,HIGH,HIGH,HIGH,"Romance,School",HIGH
227,HIGH,HIGH,HIGH,"Action,Adventure,Shounen,Supernatural",HIGH
5780,MEDIUM,MEDIUM,MEDIUM,"Action,Fantasy,Supernatural",MEDIUM
735,MEDIUM,HIGH,HIGH,"Comedy,Drama,Supernatural",MEDIUM
175,HIGH,HIGH,HIGH,"Action,Drama,Fantasy,Shounen",HIGH
2588,MEDIUM,MEDIUM,MEDIUM,"Comedy,Shounen",MEDIUM
2171,MEDIUM,HIGH,MEDIUM,"Adventure,Comedy,Shounen",MEDIUM
2172,MEDIUM,MEDIUM,HIGH,"Adventure,Comedy,Shounen",MEDIUM
586,HIGH,HIGH,HIGH,"Adventure,Comedy,Fantasy,Shounen",HIGH
4254,MEDIUM,MEDIUM,MEDIUM,"Comedy,Drama,Supernatural",MEDIUM
274,MEDIUM,HIGH,HIGH,"Comedy,Drama,Romance",MEDIUM
577,MEDIUM,HIGH,HIGH,"Action,Adventure,Fantasy,Supernatural",MEDIUM
1080,MEDIUM,MEDIUM,MEDIUM,"Action,Shounen",MEDIUM
1321,MEDIUM,MEDIUM,MEDIUM,"Adventure,Drama,Sci-Fi",MEDIUM
805,MEDIUM,HIGH,HIGH,"Action,Adventure,Comedy,Fantasy,Shounen",MEDIUM
542,HIGH,HIGH,HIGH,"Action,Drama",HIGH
968,MEDIUM,HIGH,HIGH,"Comedy,Romance",HIGH
925,HIGH,HIGH,HIGH,"Action,Sci-Fi",HIGH
3692,MEDIUM,MEDIUM,MEDIUM,"Drama,Romance,School,Shounen",MEDIUM
217,HIGH,HIGH,HIGH,"Comedy,Drama,Shounen",MEDIUM
1264,HIGH,HIGH,HIGH,"Action,Adventure,Sci-Fi,Supernatural",HIGH
1078,HIGH,HIGH,HIGH,Action,HIGH
1252,HIGH,HIGH,HIGH,"Action,Supernatural",HIGH
1162,MEDIUM,MEDIUM,MEDIUM,"Action,Comedy,Shounen",MEDIUM
1161,MEDIUM,HIGH,HIGH,School,MEDIUM
4892,MEDIUM,MEDIUM,MEDIUM,"Comedy,Shounen",MEDIUM
838,MEDIUM,HIGH,HIGH,"Action,Shounen,Supernatural",MEDIUM
1340,HIGH,HIGH,HIGH,"Fantasy,Sci-Fi",HIGH
1072,MEDIUM,MEDIUM,HIGH,"Comedy,School,Shounen",MEDIUM
620,HIGH,HIGH,HIGH,"Comedy,Romance,School,Shounen",HIGH
402,HIGH,HIGH,HIGH,"Comedy,Drama,Romance",HIGH
2121,HIGH,HIGH,HIGH,"Drama,Fantasy,Romance",HIGH
72,HIGH,HIGH,HIGH,"Drama,Romance,School",HIGH
4231,MEDIUM,MEDIUM,MEDIUM,"Action,Adventure,Drama,Shounen",MEDIUM
3513,MEDIUM,HIGH,MEDIUM,"Action,Drama",MEDIUM
116,HIGH,HIGH,HIGH,"Comedy,School",HIGH
423,HIGH,HIGH,HIGH,"Action,Adventure,Fantasy,Shounen",HIGH
4802,MEDIUM,MEDIUM,MEDIUM,"Comedy,Romance",MEDIUM
453,MEDIUM,HIGH,MEDIUM,"Adventure,Comedy,Fantasy",MEDIUM
