	Unnamed: 0	anime_ids	name	genre	type	episodes	rating	members
25	25	782	Suzumiya Haruhi no Shoushitsu	Category 7,Category 2,Category 5,Category 8,Category 6	Movie	1	8.81	240297
26	26	422	Monogatari Series: Second Season	Category 8,Category 7,Category 2,Category 5	TV	26	8.8	205959
27	27	247	Mushishi Zoku Shou	Category 4,Category 7,Category 1,Category 5,Category 8	TV	10	8.8	101351
28	28	28	Mushishi	Category 4,Category 7,Category 1,Category 5,Category 8	TV	26	8.78	300030
29	29	367	Tengen Toppa Gurren Lagann	Category 6,Category 1,Category 4,Category 5	TV	27	8.78	562962
30	30	23	Great Teacher Onizuka	Category 4,Category 2,Category 5	TV	43	8.77	268487
31	31	745	Hajime no Ippo: New Challenger	Category 3,Category 4,Category 2,Category 5	TV	26	8.75	88995
32	32	996	Mushishi Zoku Shou: Suzu no Shizuku	Category 4,Category 7,Category 1,Category 5,Category 8	Movie	1	8.75	32266
33	33	158	Natsume Yuujinchou Shi	Category 8,Category 5,Category 2	TV	13	8.75	98431
34	34	27	Howl no Ugoku Shiro	Category 8,Category 4,Category 2	Movie	1	8.74	333186
35	35	865	Fate/Zero 2nd Season	Category 8,Category 1,Category 7	TV	12	8.73	340973
36	36	5586	Kizumonogatari II: Nekketsu-hen	Category 8,Category 1,Category 7	Movie	1	8.73	34347
37	37	384	Monster	Category 7,Category 1,Category 2	TV	74	8.72	247562
38	38	165	Bakuman. 3rd Season	Category 4,Category 2,Category 5	TV	25	8.71	133620
39	39	6	Death Note	Category 8,Category 7	TV	37	8.71	1013917
40	40	2923	Gintama°: Aizome Kaori-hen	Category 5	OVA	2	8.69	16947
41	41	1441	Ansatsu Kyoushitsu (TV) 2nd Season	Category 1,Category 4,Category 2,Category 5	TV	25	8.68	176475
42	42	229	Haikyuu!!	Category 3,Category 4,Category 2,Category 5	TV	25	8.68	284498
43	43	956	Hajime no Ippo: Rising	Category 3,Category 4,Category 2,Category 5	TV	25	8.68	66756
44	44	724	Kara no Kyoukai 5: Mujun Rasen	Category 8,Category 1,Category 7,Category 2	Movie	1	8.68	111074
45	45	145	Natsume Yuujinchou San	Category 8,Category 5,Category 2	TV	13	8.67	102322
46	46	972	Ping Pong The Animation	Category 1,Category 3,Category 7	TV	11	8.67	97187
47	47	240	Mushishi Special: Hihamukage	Category 4,Category 7,Category 1,Category 5,Category 8	Special	1	8.66	49036
48	48	1320	Boku dake ga Inai Machi	Category 8,Category 1,Category 7	TV	12	8.65	402381
49	49	792	Yojouhan Shinwa Taikei	Category 2,Category 7	TV	11	8.65	122531
50	50	2566	Aria The Origination	Category 8,Category 5,Category 4,Category 6	TV	13	8.64	56162
51	51	2910	Kamisama Hajimemashita: Kako-hen	Category 8,Category 2,Category 5	OVA	4	8.64	33422
52	52	754	Rainbow: Nisha Rokubou no Shichinin	Category 1,Category 7,Category 2	TV	26	8.64	139474
53	53	1541	Re:Zero kara Hajimeru Isekai Seikatsu	Category 8,Category 7,Category 2	TV	25	8.64	355839
54	54	726	Tengen Toppa Gurren Lagann Movie: Lagann-hen	Category 1,Category 4,Category 6	Movie	1	8.64	82253
55	55	84	Zoku Natsume Yuujinchou	Category 8,Category 5,Category 2	TV	13	8.64	114173
56	56	138	Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.	Category 8,Category 5,Category 2	TV	11	8.62	463835
57	57	267	Kuroko no Basket 3rd Season	Category 3,Category 4,Category 2,Category 5	TV	25	8.62	184525
58	58	1121	Steins;Gate Movie: Fuka Ryouiki no Déjà vu	Category 7,Category 6	Movie	1	8.61	192424
59	59	148	Hotarubi no Mori e	Category 8,Category 2	Movie	1	8.61	197439
60	60	287	Shokugeki no Souma	Category 4,Category 2,Category 5	TV	24	8.61	348951
61	61	3301	Gintama: Yorinuki Gintama-san on Theater 2D	Category 6,Category 1,Category 4,Category 5	Movie	2	8.6	11104
62	62	1316	JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season	Category 8,Category 1,Category 4,Category 2	TV	24	8.6	93657
63	63	1577	Gintama Movie: Shinyaku Benizakura-hen	Category 6,Category 1,Category 4,Category 5	Movie	1	8.59	51185
64	64	441	Hellsing Ultimate	Category 8,Category 6,Category 1,Category 7	OVA	10	8.59	297454
65	65	257	Kiseijuu: Sei no Kakuritsu	Category 6,Category 1,Category 7,Category 2	TV	24	8.59	425457
66	66	1434	Shouwa Genroku Rakugo Shinjuu	Category 1,Category 2	TV	13	8.59	71295
67	67	2987	Uchuu Kyoudai	Category 6,Category 1,Category 5	TV	99	8.59	72958
68	68	292	Bakemono no Ko	Category 8,Category 4	Movie	1	8.58	80825
69	69	389	Hotaru no Haka	Category 1,Category 2	Movie	1	8.58	174878
70	70	209	Kuroko no Basket 2nd Season	Category 3,Category 4,Category 2,Category 5	TV	25	8.58	243325
71	71	1079	Major S5	Category 3,Category 2,Category 5	TV	25	8.58	28653
72	72	1206	Ghost in the Shell: Stand Alone Complex 2nd GIG	Category 1,Category 7,Category 6	TV	26	8.57	113993
73	73	742	Kara no Kyoukai 7: Satsujin Kousatsu (Kou)	Category 8,Category 1,Category 2,Category 7	Movie	1	8.57	95658
74	74	939	Kingdom 2nd Season	Category 1,Category 6	TV	39	8.57	31234
75	75	579	Slam Dunk	Category 3,Category 4,Category 2,Category 5	TV	101	8.56	82570
76	76	142	Usagi Drop	Category 5,Category 2	TV	11	8.56	194855
77	77	2798	Girls und Panzer der Film	Category 2,Category 6	Movie	1	8.55	25641
78	78	328	Mob Psycho 100	Category 8,Category 1,Category 5	TV	12	8.55	193716
79	79	39	Nana	Category 3,Category 2,Category 5	TV	47	8.55	197256
80	80	678	Baccano!	Category 8,Category 1,Category 7,Category 5	TV	13	8.54	363215
81	81	985	Mushishi Zoku Shou: Odoro no Michi	Category 4,Category 7,Category 1,Category 5,Category 8	Special	1	8.54	34011
82	82	202	Shingeki no Kyojin	Category 8,Category 1,Category 4,Category 2	TV	25	8.54	896229
83	83	139	Bakuman. 2nd Season	Category 4,Category 2,Category 5	TV	25	8.53	151561
84	84	1086	Cross Game	Category 3,Category 2,Category 5	TV	50	8.53	53108
85	85	3110	Doukyuusei (Movie)	Category 9,Category 2,Category 5	Movie	1	8.53	28864
86	86	540	Evangelion: 2.0 You Can (Not) Advance	Category 1,Category 6	Movie	1	8.53	182224
87	87	170	Shinsekai yori	Category 8,Category 6,Category 7,Category 2	TV	25	8.53	288376
88	88	1824	Uchuu Senkan Yamato 2199	Category 6,Category 1,Category 2	OVA	26	8.53	44223
89	89	180	Chihayafuru 2	Category 3,Category 2,Category 5	TV	25	8.52	86074
90	90	376	Fate/Zero	Category 8,Category 1	TV	13	8.51	453630
91	91	911	JoJo no Kimyou na Bouken (TV)	Category 8,Category 1,Category 4	TV	26	8.51	190197
92	92	135	Mahou Shoujo Madoka★Magica	Category 8,Category 7,Category 2	TV	12	8.51	462974
93	93	403	Nichijou	Category 2,Category 5	TV	26	8.52	254436
94	94	173	Psycho-Pass	Category 6,Category 1,Category 7	TV	22	8.5	509109
95	95	1385	Barakamon	Category 5	TV	12	8.5	225927
96	96	1160	Diamond no Ace: Second Season	Category 3,Category 4,Category 2,Category 5	TV	51	8.5	38531
97	97	214	Magi: The Kingdom of Magic	Category 8,Category 1,Category 4	TV	25	8.5	245026
98	98	411	Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari	Category 8,Category 7,Category 2	Movie	1	8.5	135735
99	99	1124	Major: World Series	Category 3,Category 2,Category 5	OVA	2	8.5	13405
100	100	533	Samurai Champloo	Category 1,Category 4,Category 5	TV	26	8.5	390076
101	101	329	Shokugeki no Souma: Ni no Sara	Category 4,Category 2,Category 5	TV	13	8.5	185015
102	102	99	Katanagatari	Category 1,Category 4,Category 2	TV	12	8.49	207241
103	103	1591	Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari	Category 8,Category 7,Category 2	Movie	1	8.49	85361
104	104	1094	Major S6	Category 3,Category 2,Category 5	TV	25	8.49	24788
105	105	1469	Mononoke	Category 8,Category 1,Category 7	TV	12	8.49	88850
106	106	1865	Shirobako	Category 2,Category 5	TV	24	8.49	146895
107	107	1063	Ashita no Joe 2	Category 3,Category 2	TV	47	8.48	6259
108	108	575	Hunter x Hunter	Category 1,Category 4	TV	62	8.48	166255
109	109	307	Noragami Aragoto	Category 8,Category 1,Category 4	TV	13	8.48	299434
110	110	166	Sakamichi no Apollon	Category 3,Category 2	TV	12	8.48	146592
111	111	32	Tonari no Totoro	Category 8,Category 4,Category 5	Movie	1	8.48	271484
112	112	388	Ghost in the Shell: Stand Alone Complex	Category 1,Category 7,Category 6	TV	26	8.47	194491
113	113	34	Kaze no Tani no Nausicaä	Category 8,Category 4	Movie	1	8.47	143273
114	114	224	No Game No Life	Category 8,Category 3,Category 4,Category 5	TV	12	8.47	602291
115	115	4313	Romeo no Aoi Sora	Category 1,Category 4,Category 2,Category 5	TV	33	8.47	15074
116	116	1887	Yuu☆Yuu☆Hakusho	Category 4,Category 2,Category 1,Category 5,Category 8	TV	112	8.47	195017
117	117	1757	Kino no Tabi: The Beautiful World	Category 1,Category 4,Category 5	TV	13	8.46	102822
118	118	160	Kuroko no Basket	Category 3,Category 4,Category 2,Category 5	TV	25	8.46	338315
119	119	2294	Nodame Cantabile	Category 3,Category 2,Category 5	TV	23	8.46	157025
120	120	370	Ookami to Koushinryou II	Category 8,Category 1,Category 4,Category 2	TV	12	8.46	210491
121	121	1306	Shingeki no Kyojin: Kuinaki Sentaku	Category 8,Category 1,Category 2	OVA	2	8.45	92543
122	122	1117	Steins;Gate: Oukoubakko no Poriomania	Category 7,Category 6	Special	1	8.46	159548
123	123	1158	Fate/stay night: Unlimited Blade Works 2nd Season	Category 8,Category 1,Category 4	TV	13	8.45	205987
124	124	3444	Kemono no Souja Erin	Category 8,Category 2	TV	50	8.45	36751
125	125	1915	Kizumonogatari I: Tekketsu-hen	Category 8,Category 7	Movie	1	8.45	99579
126	126	532	Neon Genesis Evangelion: The End of Evangelion	Category 6,Category 2,Category 7	Movie	1	8.45	215630
127	127	76	Toradora!	Category 2,Category 5	TV	25	8.45	633817
128	128	560	Toki wo Kakeru Shoujo	Category 6,Category 4,Category 2	Movie	1	8.44	289206
129	129	689	Tsubasa: Tokyo Revelations	Category 8,Category 1,Category 4,Category 2	OVA	3	8.44	57963
130	130	1986	Owarimonogatari	Category 8,Category 7,Category 5	TV	12	8.43	107855
131	131	14	Rurouni Kenshin: Meiji Kenkaku Romantan	Category 1,Category 4,Category 2,Category 5	TV	94	8.43	218928
132	132	681	Stranger: Mukou Hadan	Category 1,Category 4	Movie	1	8.43	125503
133	133	2174	Detective Conan Movie 06: The Phantom of Baker Street	Category 4,Category 7	Movie	1	8.42	28462
134	134	1148	Fate/stay night: Unlimited Blade Works	Category 8,Category 1,Category 4	TV	12	8.42	267484
135	135	1033	Major S1	Category 3,Category 4,Category 2,Category 5	TV	26	8.42	41061
136	136	1256	Nanatsu no Taizai	Category 8,Category 1,Category 4,Category 5	TV	24	8.42	331627
137	137	74	Natsume Yuujinchou	Category 8,Category 5,Category 2	TV	13	8.42	210736
138	138	719	One Piece Film: Strong World	Category 4,Category 2,Category 1,Category 5,Category 8	Movie	1	8.42	85020
139	139	537	Higurashi no Naku Koro ni Kai	Category 8,Category 7	TV	24	8.41	218101
140	140	1011	Hunter x Hunter OVA	Category 1,Category 4	OVA	8	8.41	53168
141	141	1013	Hunter x Hunter: Greed Island Final	Category 1,Category 4	OVA	14	8.41	55787
142	142	1423	Kuroshitsuji: Book of Murder	Category 4,Category 7,Category 1,Category 5,Category 8	OVA	2	8.41	67261
143	143	1032	Major S2	Category 3,Category 4,Category 2,Category 5	TV	26	8.41	30689
144	144	1081	One Outs	Category 1,Category 3,Category 7	TV	25	8.41	83056
145	145	1484	Beck	Category 3,Category 4,Category 2,Category 5	TV	26	8.4	148328
146	146	1935	Berserk	Category 4,Category 7,Category 2,Category 1,Category 8,Category 6	TV	25	8.4	226430
147	147	530	Cowboy Bebop: Tengoku no Tobira	Category 6,Category 1,Category 7,Category 2	Movie	1	8.4	137636
148	148	1055	Major S3	Category 3,Category 4,Category 2	TV	26	8.4	29528
149	149	2055	Mobile Suit Gundam Unicorn	Category 6,Category 1,Category 2	OVA	7	8.4	42076
150	150	963	Natsume Yuujinchou: Itsuka Yuki no Hi ni	Category 8,Category 5,Category 2	OVA	1	8.4	28302
151	151	46	NHK ni Youkoso!	Category 7,Category 2,Category 5	TV	24	8.4	291228
152	152	3073	Rose of Versailles	Category 1,Category 4,Category 2	TV	40	8.4	32188
153	153	413	Sakurasou no Pet na Kanojo	Category 2,Category 5	TV	24	8.4	380375
154	154	9	Angel Beats!	Category 8,Category 1,Category 2,Category 5	TV	13	8.39	717796
155	155	369	Bakemonogatari	Category 8,Category 2,Category 7	TV	15	8.39	482268
156	156	592	Hajime no Ippo: Champion Road	Category 3,Category 4,Category 5	Special	1	8.39	47840
157	157	525	One Piece Film: Z	Category 4,Category 2,Category 1,Category 5,Category 8	Movie	1	8.39	76051
158	158	37	Ouran Koukou Host Club	Category 2,Category 5	TV	26	8.39	422271
159	159	3141	Detective Conan Movie 13: The Raven Chaser	Category 1,Category 4,Category 7	Movie	1	8.38	21798
160	160	103	Durarara!!	Category 8,Category 1,Category 7	TV	24	8.38	556431
161	161	2417	Nodame Cantabile Finale	Category 3,Category 2,Category 5	TV	11	8.38	67697
162	162	1939	Planetes	Category 6,Category 1,Category 2	TV	26	8.38	105044
163	163	341	Shelter	Category 3,Category 6	Music	1	8.38	71136
164	164	31	Tenkuu no Shiro Laputa	Category 8,Category 6,Category 4,Category 2	Movie	1	8.38	151061
165	165	1575	Gintama: Shiroyasha Koutan	Category 6,Category 1,Category 5	Special	1	8.37	27213
166	166	2292	Hachimitsu to Clover II	Category 2	TV	12	8.37	61493
167	167	372	InuYasha: Kanketsu-hen	Category 4,Category 2,Category 1,Category 5,Category 8	TV	26	8.37	99128
168	168	930	Kaguya-hime no Monogatari	Category 8,Category 1	Movie	1	8.37	45547
169	169	50	Katekyo Hitman Reborn!	Category 1,Category 4,Category 5	TV	203	8.37	258103
170	170	251	Kuroshitsuji: Book of Circus	Category 8,Category 1,Category 4,Category 5	TV	10	8.37	122895
171	171	368	Ookami to Koushinryou	Category 8,Category 1,Category 4,Category 2	TV	13	8.37	334932
172	172	325	Boku no Hero Academia	Category 1,Category 4,Category 2,Category 5	TV	13	8.36	282002
173	173	1139	Gin no Saji 2nd Season	Category 4,Category 2,Category 5	TV	11	8.36	67032
174	174	949	Little Busters!: Refrain	Category 8,Category 2,Category 5	TV	13	8.36	71820
175	175	1106	Major: Message	Category 3,Category 2,Category 5	OVA	1	8.36	12282
176	176	2680	Saint Seiya: The Lost Canvas - Meiou Shinwa 2	Category 8,Category 1,Category 4	OVA	13	8.36	27532
177	177	1105	SKET Dance	Category 4,Category 2,Category 5	TV	77	8.36	101027
178	178	115	Bakuman.	Category 4,Category 2,Category 5	TV	25	8.35	246899
179	179	161	Danshi Koukousei no Nichijou	Category 4,Category 2,Category 5	TV	12	8.35	258914
180	180	206	Kotonoha no Niwa	Category 7,Category 2,Category 5	Movie	1	8.35	189741
181	181	995	Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen	Category 8,Category 5	Movie	1	8.35	59815
182	182	1067	Major S4	Category 3,Category 4,Category 2,Category 5	TV	26	8.35	28002
183	183	967	Omoide no Marnie	Category 7,Category 2	Movie	1	8.35	53590
184	184	2123	Working!!!: Lord of the Takanashi	Category 2,Category 5	Special	1	8.34	31856
185	185	1263	Ghost in the Shell	Category 1,Category 7,Category 6	Movie	1	8.34	223036
186	186	131	K-On! Movie	Category 3,Category 5	Movie	1	8.34	115252
187	187	1002	Kuroko no Basket: Saikou no Present Desu	Category 1,Category 4,Category 3,Category 2	Special	1	8.34	22900
188	188	2701	Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s	Category 4,Category 2,Category 1,Category 5,Category 8	Movie	1	8.34	13315
189	189	1992	Sennen Joyuu	Category 8,Category 1,Category 4,Category 2	Movie	1	8.34	58492
190	190	1720	Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero	Category 7,Category 6	Special	1	8.34	38147
191	191	697	xxxHOLiC Kei	Category 8,Category 7,Category 2,Category 5	TV	13	8.34	74941
192	192	1920	Berserk: Ougon Jidai-hen III - Kourin	Category 4,Category 7,Category 2,Category 1,Category 8,Category 6	Movie	1	8.33	65594
193	193	289	Death Parade	Category 3,Category 7,Category 2	TV	12	8.33	383914
194	194	449	Fullmetal Alchemist	Category 4,Category 2,Category 1,Category 5,Category 8,Category 6	TV	51	8.33	600384
195	195	1471	Gyakkyou Burai Kaiji: Ultimate Survivor	Category 3,Category 1,Category 7	TV	26	8.33	98996
196	196	1012	Hunter x Hunter: Greed Island	Category 1,Category 4	OVA	8	8.33	57029
197	197	1362	Redline	Category 1,Category 3,Category 6	Movie	1	8.33	109392
198	198	151	Chihayafuru	Category 3,Category 2,Category 5	TV	25	8.32	158561
199	199	6641	Detective Conan Movie 20: The Darkest Nightmare	Category 1,Category 4,Category 7	Movie	1	8.32	6229
200	200	363	Dragon Ball Z	Category 8,Category 1,Category 4,Category 5	TV	291	8.32	375662
201	201	1156	Fate/stay night: Unlimited Blade Works - Prologue	Category 8,Category 1,Category 4	Special	1	8.32	106382
202	202	1890	Kokoro ga Sakebitagatterunda.	Category 2	Movie	1	8.32	59652
203	203	612	Mimi wo Sumaseba	Category 8,Category 5,Category 4,Category 2	Movie	1	8.32	94435
204	204	200	Nagi no Asukara	Category 8,Category 2	TV	26	8.32	224947
205	205	385	Neon Genesis Evangelion	Category 6,Category 1,Category 2,Category 7	TV	26	8.32	461946
206	206	5151	One Piece Film: Gold	Category 4,Category 2,Category 1,Category 5,Category 8	Movie	1	8.32	18642
207	207	1762	Tokyo Godfathers	Category 2,Category 5	Movie	1	8.32	89424
208	208	359	Trigun	Category 6,Category 1,Category 5	TV	26	8.32	283069
209	209	1089	xxxHOLiC Rou	Category 8,Category 7	OVA	2	8.32	36353
210	210	1584	Gintama: Shinyaku Benizakura-hen	Category 6,Category 1,Category 4,Category 5	Special	1	8.31	14002
211	211	1590	Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari	Category 8,Category 7,Category 2	Movie	1	8.31	88164
212	212	407	Sekaiichi Hatsukoi 2	Category 9,Category 2,Category 5	TV	12	8.31	69253
213	213	981	Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku	Category 2,Category 5	TV	13	8.31	222994
214	214	5277	Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA	Category 2,Category 5	OVA	1	8.31	35120
215	215	3082	Aria The Natural	Category 8,Category 5,Category 4,Category 6	TV	26	8.3	39596
216	216	1053	Black Lagoon: The Second Barrage	Category 1	TV	12	8.3	203233
217	217	7	Clannad	Category 8,Category 2,Category 5	TV	23	8.3	566690
218	218	933	Kami nomi zo Shiru Sekai: Megami-hen	Category 8,Category 4,Category 2,Category 5	TV	12	8.3	142612
219	219	88	Summer Wars	Category 6,Category 5	Movie	1	8.3	223359
220	220	713	Baccano! Specials	Category 8,Category 1,Category 7,Category 5	Special	3	8.29	100412
221	221	3142	Detective Conan Movie 14: The Lost Ship in the Sky	Category 1,Category 4,Category 7	Movie	1	8.29	20602
222	222	1475	Gyakkyou Burai Kaiji: Hakairoku-hen	Category 3,Category 1,Category 7	TV	26	8.29	55566
223	223	4341	Initial D Final Stage	Category 3,Category 1	TV	4	8.29	19702
224	224	2298	Kaiba	Category 6,Category 4,Category 2,Category 7	TV	12	8.29	56927
225	225	955	One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari	Category 4,Category 2,Category 1,Category 5,Category 8	Special	1	8.29	17247
226	226	1198	Cardcaptor Sakura Movie 2: Fuuin Sareta Card	Category 8,Category 2,Category 5	Movie	1	8.28	60637
227	227	593	Hajime no Ippo: Mashiba vs. Kimura	Category 3,Category 4,Category 5	OVA	1	8.28	40623
228	228	275	Kamisama Hajimemashita◎	Category 8,Category 2,Category 5	TV	12	8.28	91796
229	229	77	Skip Beat!	Category 2,Category 5	TV	25	8.28	134818
230	230	265	Yowamushi Pedal: Grande Road	Category 3,Category 4,Category 2,Category 5	TV	24	8.28	50778
231	231	1912	Gankutsuou	Category 8,Category 6,Category 7,Category 2	TV	24	8.27	103828
232	232	30	Majo no Takkyuubin	Category 8,Category 4,Category 2,Category 5	Movie	1	8.27	152331
233	233	2416	Nodame Cantabile: Paris-hen	Category 3,Category 2,Category 5	TV	11	8.27	70822
234	234	916	One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna	Category 4,Category 2,Category 1,Category 5,Category 8	Special	1	8.27	24707
235	235	2198	Osomatsu-san	Category 5	TV	25	8.27	60988
236	236	1255	Space☆Dandy 2nd Season	Category 6,Category 5	TV	13	8.27	60918
237	237	1286	Tsumiki no Ie	Category 2	Movie	1	8.27	45189
238	238	70	Detroit Metal City	Category 3,Category 5	OVA	12	8.26	104893
239	239	394	Eve no Jikan	Category 5,Category 6	ONA	6	8.26	99074
240	240	785	Eve no Jikan (Movie)	Category 5,Category 6	Movie	1	8.26	66376
241	241	108	Kaichou wa Maid-sama!	Category 2,Category 5	TV	26	8.26	391628
242	242	2374	Saint Seiya: Meiou Hades Juuni Kyuu-hen	Category 4,Category 6	OVA	13	8.26	23701
243	243	260	Zankyou no Terror	Category 7	TV	11	8.26	342893
244	244	670	Darker than Black: Kuro no Keiyakusha	Category 6,Category 1,Category 4,Category 7	TV	25	8.25	440334
245	245	2173	Detective Conan Movie 05: Countdown to Heaven	Category 7,Category 4,Category 5	Movie	1	8.25	25432
246	246	1137	Diamond no Ace	Category 3,Category 4,Category 2,Category 5	TV	75	8.25	81384
247	247	248	Fairy Tail (2014)	Category 8,Category 1,Category 4,Category 5	TV	102	8.25	255076
248	248	964	JoJo no Kimyou na Bouken: Stardust Crusaders	Category 8,Category 1,Category 4,Category 2	TV	24	8.25	120089
249	249	3776	Maison Ikkoku	Category 2,Category 5	TV	96	8.25	22079
250	250	1860	Non Non Biyori Repeat	Category 1,Category 2,Category 5	TV	12	8.26	64230
251	251	654	Shijou Saikyou no Deshi Kenichi	Category 1,Category 4,Category 2,Category 5	TV	50	8.25	129112
252	252	3564	Yuusha-Ou GaoGaiGar Final	Category 6,Category 4,Category 2	OVA	8	8.25	5001
253	253	261	Gekkan Shoujo Nozaki-kun	Category 2,Category 5	TV	12	8.24	292622
254	254	3512	Initial D Fourth Stage	Category 1,Category 3,Category 2	TV	24	8.24	41584
255	255	395	Junjou Romantica 2	Category 9,Category 2,Category 5	TV	12	8.24	87617
256	256	1378	Kaze Tachinu	Category 1,Category 2	Movie	1	8.24	75359
257	257	873	Kingdom	Category 1,Category 6	TV	38	8.24	54211
258	258	118	Kuragehime	Category 2,Category 5	TV	11	8.24	108053
259	259	182	Magi: The Labyrinth of Magic	Category 8,Category 1,Category 4	TV	25	8.24	317513
260	260	1783	Mobile Suit Gundam 00	Category 6,Category 1,Category 2	TV	25	8.24	120351
261	261	300	ReLIFE	Category 5,Category 2	TV	13	8.24	202249
262	262	2385	Saint Seiya: The Lost Canvas - Meiou Shinwa	Category 8,Category 1,Category 4	OVA	13	8.24	40355
263	263	665	Seirei no Moribito	Category 8,Category 1,Category 4	TV	26	8.24	106888
264	264	1261	Akatsuki no Yona	Category 4,Category 2,Category 1,Category 5,Category 8	TV	24	8.23	216674
265	265	2176	Detective Conan Movie 08: Magician of the Silver Sky	Category 7,Category 4,Category 5	Movie	1	8.23	23130
266	266	1429	Durarara!!x2 Ketsu	Category 8,Category 1,Category 7	TV	12	8.23	115295
267	267	1155	Free!: Eternal Summer Special	Category 2,Category 5	Special	1	8.23	36091
268	268	4666	Glass no Kamen (2005)	Category 2	TV	51	8.23	17038
269	269	374	Gosick	Category 1,Category 7,Category 2	TV	24	8.23	232113
270	270	875	Hajime no Ippo: Boxer no Kobushi	Category 3,Category 4,Category 2,Category 5	Special	1	8.23	20157
271	271	1491	Initial D First Stage	Category 1,Category 3,Category 2	TV	26	8.23	68128
272	272	427	Kill la Kill	Category 1,Category 4,Category 2,Category 5	TV	24	8.23	508118
273	273	1608	Lovely★Complex	Category 2,Category 5	TV	24	8.23	235003
274	274	1463	Perfect Blue	Category 2,Category 7	Movie	1	8.23	117565
275	275	2935	Princess Tutu	Category 8,Category 2,Category 5	TV	38	8.23	73218
276	276	1371	Sakasama no Patema	Category 1,Category 6	Movie	1	8.23	89749
277	277	1799	Tsubasa: Shunraiki	Category 4,Category 7,Category 2,Category 1,Category 8	OVA	2	8.23	40420
278	278	1059	Ashita no Joe	Category 3,Category 2	TV	79	8.22	15442
279	279	101	Fairy Tail	Category 8,Category 1,Category 4,Category 5	TV	175	8.22	584590
280	280	2512	Ghost in the Shell: Stand Alone Complex - Solid State Society	Category 7,Category 1,Category 6	Special	1	8.22	55247
281	281	322	Magi: Sinbad no Bouken (TV)	Category 8,Category 1,Category 4	TV	13	8.22	73480
282	282	2484	Shoujo Kakumei Utena	Category 8,Category 7,Category 2	TV	39	8.22	77464
