id,insta_follower,tiktok,youtube,categories,price_category,avg_rating
170,HIGH,HIGH,HIGH,"Category 8,Category 6,Category 7,Category 2",HIGH,8.53
1824,MEDIUM,HIGH,HIGH,"Category 6,Category 1,Category 2",HIGH,8.53
180,HIGH,HIGH,HIGH,"Category 3,Category 2,Category 5",LOW,8.52
376,HIGH,HIGH,HIGH,"Category 8,Category 1",LOW,8.51
911,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4",LOW,8.51
135,HIGH,HIGH,HIGH,"Category 8,Category 7,Category 2",MEDIUM,8.51
403,HIGH,HIGH,HIGH,"Category 2,Category 5",HIGH,8.52
173,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 7",LOW,8.5
1385,HIGH,HIGH,HIGH,Category 5,LOW,8.5
1160,MEDIUM,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",MEDIUM,8.5
214,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4",LOW,8.5
411,HIGH,HIGH,HIGH,"Category 8,Category 7,Category 2",HIGH,8.5
1124,MEDIUM,MEDIUM,MEDIUM,"Category 3,Category 2,Category 5",MEDIUM,8.5
533,HIGH,HIGH,HIGH,"Category 1,Category 4,Category 5",MEDIUM,8.5
329,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 5",HIGH,8.5
99,HIGH,HIGH,HIGH,"Category 1,Category 4,Category 2",HIGH,8.49
1591,HIGH,HIGH,HIGH,"Category 8,Category 7,Category 2",MEDIUM,8.49
1094,MEDIUM,MEDIUM,MEDIUM,"Category 3,Category 2,Category 5",MEDIUM,8.49
1469,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 7",LOW,8.49
1865,HIGH,HIGH,HIGH,"Category 2,Category 5",LOW,8.49
1063,MEDIUM,MEDIUM,MEDIUM,"Category 3,Category 2",MEDIUM,8.48
575,HIGH,HIGH,HIGH,"Category 1,Category 4",HIGH,8.48
307,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4",HIGH,8.48
166,HIGH,HIGH,HIGH,"Category 3,Category 2",MEDIUM,8.48
32,HIGH,HIGH,HIGH,"Category 8,Category 4,Category 5",LOW,8.48
388,HIGH,HIGH,HIGH,"Category 1,Category 7,Category 6",HIGH,8.47
34,HIGH,HIGH,HIGH,"Category 8,Category 4",LOW,8.47
224,HIGH,HIGH,HIGH,"Category 8,Category 3,Category 4,Category 5",MEDIUM,8.47
4313,MEDIUM,MEDIUM,MEDIUM,"Category 1,Category 4,Category 2,Category 5",HIGH,8.47
1887,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 1,Category 5,Category 8",MEDIUM,8.47
1757,HIGH,HIGH,HIGH,"Category 1,Category 4,Category 5",HIGH,8.46
160,HIGH,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",HIGH,8.46
2294,HIGH,HIGH,HIGH,"Category 3,Category 2,Category 5",MEDIUM,8.46
370,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4,Category 2",MEDIUM,8.46
1306,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 2",MEDIUM,8.45
1117,HIGH,HIGH,HIGH,"Category 7,Category 6",MEDIUM,8.46
1158,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4",HIGH,8.45
3444,MEDIUM,HIGH,HIGH,"Category 8,Category 2",HIGH,8.45
1915,HIGH,HIGH,HIGH,"Category 8,Category 7",HIGH,8.45
532,HIGH,HIGH,HIGH,"Category 6,Category 2,Category 7",MEDIUM,8.45
76,HIGH,HIGH,HIGH,"Category 2,Category 5",MEDIUM,8.45
560,HIGH,HIGH,HIGH,"Category 6,Category 4,Category 2",HIGH,8.44
689,MEDIUM,HIGH,HIGH,"Category 8,Category 1,Category 4,Category 2",MEDIUM,8.44
1986,HIGH,HIGH,HIGH,"Category 8,Category 7,Category 5",MEDIUM,8.43
14,HIGH,HIGH,HIGH,"Category 1,Category 4,Category 2,Category 5",LOW,8.43
681,HIGH,HIGH,HIGH,"Category 1,Category 4",HIGH,8.43
2174,MEDIUM,HIGH,HIGH,"Category 4,Category 7",LOW,8.42
1148,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4",LOW,8.42
1033,MEDIUM,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",HIGH,8.42
1256,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4,Category 5",HIGH,8.42
74,HIGH,HIGH,HIGH,"Category 8,Category 5,Category 2",LOW,8.42
719,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 1,Category 5,Category 8",LOW,8.42
537,HIGH,HIGH,HIGH,"Category 8,Category 7",LOW,8.41
1011,MEDIUM,HIGH,HIGH,"Category 1,Category 4",MEDIUM,8.41
1013,MEDIUM,HIGH,HIGH,"Category 1,Category 4",HIGH,8.41
1423,MEDIUM,HIGH,HIGH,"Category 4,Category 7,Category 1,Category 5,Category 8",MEDIUM,8.41
1032,MEDIUM,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",LOW,8.41
1081,HIGH,HIGH,HIGH,"Category 1,Category 3,Category 7",LOW,8.41
1484,HIGH,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",HIGH,8.4
1935,HIGH,HIGH,HIGH,"Category 4,Category 7,Category 2,Category 1,Category 8,Category 6",LOW,8.4
530,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 7,Category 2",HIGH,8.4
1055,MEDIUM,HIGH,HIGH,"Category 3,Category 4,Category 2",HIGH,8.4
2055,MEDIUM,HIGH,HIGH,"Category 6,Category 1,Category 2",HIGH,8.4
963,MEDIUM,HIGH,HIGH,"Category 8,Category 5,Category 2",LOW,8.4
46,HIGH,HIGH,HIGH,"Category 7,Category 2,Category 5",HIGH,8.4
3073,MEDIUM,HIGH,HIGH,"Category 1,Category 4,Category 2",HIGH,8.4
413,HIGH,HIGH,HIGH,"Category 2,Category 5",LOW,8.4
9,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 2,Category 5",HIGH,8.39
369,HIGH,HIGH,HIGH,"Category 8,Category 2,Category 7",MEDIUM,8.39
592,MEDIUM,HIGH,HIGH,"Category 3,Category 4,Category 5",HIGH,8.39
525,MEDIUM,HIGH,HIGH,"Category 4,Category 2,Category 1,Category 5,Category 8",MEDIUM,8.39
37,HIGH,HIGH,HIGH,"Category 2,Category 5",MEDIUM,8.39
3141,MEDIUM,HIGH,MEDIUM,"Category 1,Category 4,Category 7",LOW,8.38
103,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 7",MEDIUM,8.38
2417,MEDIUM,HIGH,HIGH,"Category 3,Category 2,Category 5",HIGH,8.38
1939,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 2",LOW,8.38
341,MEDIUM,HIGH,HIGH,"Category 3,Category 6",MEDIUM,8.38
31,HIGH,HIGH,HIGH,"Category 8,Category 6,Category 4,Category 2",MEDIUM,8.38
1575,MEDIUM,HIGH,HIGH,"Category 6,Category 1,Category 5",LOW,8.37
2292,MEDIUM,HIGH,HIGH,Category 2,MEDIUM,8.37
372,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 1,Category 5,Category 8",MEDIUM,8.37
930,MEDIUM,HIGH,HIGH,"Category 8,Category 1",MEDIUM,8.37
50,HIGH,HIGH,HIGH,"Category 1,Category 4,Category 5",HIGH,8.37
251,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4,Category 5",HIGH,8.37
368,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4,Category 2",MEDIUM,8.37
325,HIGH,HIGH,HIGH,"Category 1,Category 4,Category 2,Category 5",LOW,8.36
1139,MEDIUM,HIGH,HIGH,"Category 4,Category 2,Category 5",HIGH,8.36
949,MEDIUM,HIGH,HIGH,"Category 8,Category 2,Category 5",LOW,8.36
1106,MEDIUM,MEDIUM,MEDIUM,"Category 3,Category 2,Category 5",HIGH,8.36
2680,MEDIUM,HIGH,MEDIUM,"Category 8,Category 1,Category 4",HIGH,8.36
1105,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 5",HIGH,8.36
115,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 5",HIGH,8.35
161,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 5",HIGH,8.35
206,HIGH,HIGH,HIGH,"Category 7,Category 2,Category 5",HIGH,8.35
995,MEDIUM,HIGH,HIGH,"Category 8,Category 5",MEDIUM,8.35
1067,MEDIUM,MEDIUM,HIGH,"Category 3,Category 4,Category 2,Category 5",HIGH,8.35
967,MEDIUM,HIGH,HIGH,"Category 7,Category 2",LOW,8.35
2123,MEDIUM,HIGH,HIGH,"Category 2,Category 5",LOW,8.34
1263,HIGH,HIGH,HIGH,"Category 1,Category 7,Category 6",LOW,8.34
131,HIGH,HIGH,HIGH,"Category 3,Category 5",LOW,8.34
1002,MEDIUM,MEDIUM,HIGH,"Category 1,Category 4,Category 3,Category 2",MEDIUM,8.34
2701,MEDIUM,MEDIUM,MEDIUM,"Category 4,Category 2,Category 1,Category 5,Category 8",LOW,8.34
1992,MEDIUM,HIGH,HIGH,"Category 8,Category 1,Category 4,Category 2",MEDIUM,8.34
1720,MEDIUM,HIGH,HIGH,"Category 7,Category 6",LOW,8.34
697,MEDIUM,HIGH,HIGH,"Category 8,Category 7,Category 2,Category 5",MEDIUM,8.34
1920,MEDIUM,HIGH,HIGH,"Category 4,Category 7,Category 2,Category 1,Category 8,Category 6",MEDIUM,8.33
289,HIGH,HIGH,HIGH,"Category 3,Category 7,Category 2",MEDIUM,8.33
449,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 1,Category 5,Category 8,Category 6",LOW,8.33
1471,HIGH,HIGH,HIGH,"Category 3,Category 1,Category 7",MEDIUM,8.33
1012,MEDIUM,HIGH,HIGH,"Category 1,Category 4",HIGH,8.33
1362,HIGH,HIGH,HIGH,"Category 1,Category 3,Category 6",MEDIUM,8.33
151,HIGH,HIGH,HIGH,"Category 3,Category 2,Category 5",MEDIUM,8.32
6641,MEDIUM,MEDIUM,MEDIUM,"Category 1,Category 4,Category 7",LOW,8.32
363,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4,Category 5",MEDIUM,8.32
1156,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4",MEDIUM,8.32
1890,MEDIUM,HIGH,HIGH,Category 2,LOW,8.32
612,HIGH,HIGH,HIGH,"Category 8,Category 5,Category 4,Category 2",HIGH,8.32
200,HIGH,HIGH,HIGH,"Category 8,Category 2",MEDIUM,8.32
385,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 2,Category 7",MEDIUM,8.32
5151,MEDIUM,MEDIUM,MEDIUM,"Category 4,Category 2,Category 1,Category 5,Category 8",LOW,8.32
1762,HIGH,HIGH,HIGH,"Category 2,Category 5",MEDIUM,8.32
359,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 5",HIGH,8.32
1089,MEDIUM,HIGH,HIGH,"Category 8,Category 7",MEDIUM,8.32
1584,MEDIUM,MEDIUM,MEDIUM,"Category 6,Category 1,Category 4,Category 5",MEDIUM,8.31
1590,HIGH,HIGH,HIGH,"Category 8,Category 7,Category 2",HIGH,8.31
407,MEDIUM,HIGH,HIGH,"Category 9,Category 2,Category 5",MEDIUM,8.31
981,HIGH,HIGH,HIGH,"Category 2,Category 5",MEDIUM,8.31
5277,MEDIUM,HIGH,HIGH,"Category 2,Category 5",MEDIUM,8.31
3082,MEDIUM,HIGH,HIGH,"Category 8,Category 5,Category 4,Category 6",MEDIUM,8.3
1053,HIGH,HIGH,HIGH,Category 1,HIGH,8.3
7,HIGH,HIGH,HIGH,"Category 8,Category 2,Category 5",MEDIUM,8.3
933,HIGH,HIGH,HIGH,"Category 8,Category 4,Category 2,Category 5",MEDIUM,8.3
88,HIGH,HIGH,HIGH,"Category 6,Category 5",HIGH,8.3
713,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 7,Category 5",HIGH,8.29
3142,MEDIUM,MEDIUM,MEDIUM,"Category 1,Category 4,Category 7",HIGH,8.29
1475,MEDIUM,HIGH,HIGH,"Category 3,Category 1,Category 7",MEDIUM,8.29
4341,MEDIUM,MEDIUM,HIGH,"Category 3,Category 1",HIGH,8.29
2298,MEDIUM,HIGH,HIGH,"Category 6,Category 4,Category 2,Category 7",MEDIUM,8.29
955,MEDIUM,MEDIUM,MEDIUM,"Category 4,Category 2,Category 1,Category 5,Category 8",HIGH,8.29
1198,MEDIUM,HIGH,HIGH,"Category 8,Category 2,Category 5",LOW,8.28
593,MEDIUM,HIGH,HIGH,"Category 3,Category 4,Category 5",MEDIUM,8.28
275,HIGH,HIGH,HIGH,"Category 8,Category 2,Category 5",HIGH,8.28
77,HIGH,HIGH,HIGH,"Category 2,Category 5",HIGH,8.28
265,MEDIUM,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",MEDIUM,8.28
1912,HIGH,HIGH,HIGH,"Category 8,Category 6,Category 7,Category 2",MEDIUM,8.27
30,HIGH,HIGH,HIGH,"Category 8,Category 4,Category 2,Category 5",MEDIUM,8.27
2416,MEDIUM,HIGH,HIGH,"Category 3,Category 2,Category 5",HIGH,8.27
916,MEDIUM,HIGH,HIGH,"Category 4,Category 2,Category 1,Category 5,Category 8",LOW,8.27
2198,MEDIUM,HIGH,HIGH,Category 5,HIGH,8.27
1255,MEDIUM,HIGH,HIGH,"Category 6,Category 5",MEDIUM,8.27
1286,MEDIUM,HIGH,HIGH,Category 2,HIGH,8.27
70,HIGH,HIGH,HIGH,"Category 3,Category 5",LOW,8.26
394,HIGH,HIGH,HIGH,"Category 5,Category 6",LOW,8.26
785,MEDIUM,HIGH,HIGH,"Category 5,Category 6",HIGH,8.26
108,HIGH,HIGH,HIGH,"Category 2,Category 5",MEDIUM,8.26
2374,MEDIUM,HIGH,HIGH,"Category 4,Category 6",MEDIUM,8.26
260,HIGH,HIGH,HIGH,Category 7,HIGH,8.26
670,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 4,Category 7",LOW,8.25
2173,MEDIUM,HIGH,HIGH,"Category 7,Category 4,Category 5",MEDIUM,8.25
1137,HIGH,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",HIGH,8.25
248,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4,Category 5",HIGH,8.25
964,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4,Category 2",LOW,8.25
3776,MEDIUM,MEDIUM,HIGH,"Category 2,Category 5",MEDIUM,8.25
1860,MEDIUM,HIGH,HIGH,"Category 1,Category 2,Category 5",MEDIUM,8.26
654,HIGH,HIGH,HIGH,"Category 1,Category 4,Category 2,Category 5",LOW,8.25
3564,MEDIUM,MEDIUM,MEDIUM,"Category 6,Category 4,Category 2",MEDIUM,8.25
261,HIGH,HIGH,HIGH,"Category 2,Category 5",MEDIUM,8.24
3512,MEDIUM,HIGH,HIGH,"Category 1,Category 3,Category 2",MEDIUM,8.24
395,HIGH,HIGH,HIGH,"Category 9,Category 2,Category 5",HIGH,8.24
1378,MEDIUM,HIGH,HIGH,"Category 1,Category 2",MEDIUM,8.24
873,MEDIUM,HIGH,HIGH,"Category 1,Category 6",HIGH,8.24
118,HIGH,HIGH,HIGH,"Category 2,Category 5",MEDIUM,8.24
182,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4",HIGH,8.24
1783,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 2",LOW,8.24
300,HIGH,HIGH,HIGH,"Category 5,Category 2",MEDIUM,8.24
2385,MEDIUM,HIGH,HIGH,"Category 8,Category 1,Category 4",MEDIUM,8.24
665,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4",MEDIUM,8.24
1261,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 1,Category 5,Category 8",HIGH,8.23
2176,MEDIUM,MEDIUM,HIGH,"Category 7,Category 4,Category 5",HIGH,8.23
1429,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 7",MEDIUM,8.23
1155,MEDIUM,HIGH,HIGH,"Category 2,Category 5",MEDIUM,8.23
4666,MEDIUM,MEDIUM,MEDIUM,Category 2,HIGH,8.23
374,HIGH,HIGH,HIGH,"Category 1,Category 7,Category 2",LOW,8.23
875,MEDIUM,MEDIUM,HIGH,"Category 3,Category 4,Category 2,Category 5",MEDIUM,8.23
1491,MEDIUM,HIGH,HIGH,"Category 1,Category 3,Category 2",MEDIUM,8.23
427,HIGH,HIGH,HIGH,"Category 1,Category 4,Category 2,Category 5",MEDIUM,8.23
1608,HIGH,HIGH,HIGH,"Category 2,Category 5",MEDIUM,8.23
1463,HIGH,HIGH,HIGH,"Category 2,Category 7",MEDIUM,8.23
2935,MEDIUM,HIGH,HIGH,"Category 8,Category 2,Category 5",MEDIUM,8.23
1371,HIGH,HIGH,HIGH,"Category 1,Category 6",MEDIUM,8.23
1799,MEDIUM,HIGH,HIGH,"Category 4,Category 7,Category 2,Category 1,Category 8",HIGH,8.23
1059,MEDIUM,MEDIUM,MEDIUM,"Category 3,Category 2",LOW,8.22
101,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4,Category 5",HIGH,8.22
2512,MEDIUM,HIGH,HIGH,"Category 7,Category 1,Category 6",HIGH,8.22
322,MEDIUM,HIGH,HIGH,"Category 8,Category 1,Category 4",HIGH,8.22
2484,MEDIUM,HIGH,HIGH,"Category 8,Category 7,Category 2",LOW,8.22
718,MEDIUM,HIGH,HIGH,"Category 6,Category 1,Category 5",MEDIUM,8.22
2178,MEDIUM,HIGH,MEDIUM,"Category 7,Category 4,Category 5",HIGH,8.21
59,HIGH,HIGH,HIGH,"Category 1,Category 6",MEDIUM,8.21
447,HIGH,HIGH,HIGH,"Category 1,Category 2,Category 5",MEDIUM,8.21
3259,MEDIUM,MEDIUM,MEDIUM,"Category 6,Category 1,Category 2",LOW,8.21
711,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 7,Category 2",HIGH,8.21
1794,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 2",LOW,8.21
408,HIGH,HIGH,HIGH,"Category 8,Category 7,Category 5",MEDIUM,8.21
1923,HIGH,HIGH,HIGH,"Category 8,Category 7,Category 5",LOW,8.21
1426,HIGH,HIGH,HIGH,"Category 1,Category 4,Category 2,Category 5",LOW,8.2
2897,MEDIUM,MEDIUM,MEDIUM,"Category 8,Category 5,Category 4,Category 6",MEDIUM,8.2
282,MEDIUM,HIGH,MEDIUM,"Category 3,Category 4,Category 2",HIGH,8.2
47,HIGH,HIGH,HIGH,"Category 1,Category 4,Category 5",LOW,8.2
3261,MEDIUM,MEDIUM,MEDIUM,"Category 1,Category 6",LOW,8.2
1427,MEDIUM,MEDIUM,MEDIUM,"Category 6,Category 1,Category 4,Category 5",HIGH,8.2
1336,MEDIUM,HIGH,HIGH,"Category 4,Category 5",LOW,8.2
1096,MEDIUM,HIGH,MEDIUM,"Category 3,Category 5",HIGH,8.2
3115,MEDIUM,MEDIUM,MEDIUM,"Category 4,Category 2,Category 1,Category 5,Category 8",HIGH,8.2
3165,MEDIUM,HIGH,MEDIUM,"Category 9,Category 2,Category 5",HIGH,8.2
416,HIGH,HIGH,HIGH,"Category 8,Category 5,Category 2",MEDIUM,8.19
3006,MEDIUM,HIGH,HIGH,"Category 4,Category 7,Category 2,Category 5,Category 6",LOW,8.19
588,HIGH,HIGH,HIGH,"Category 6,Category 4,Category 2",MEDIUM,8.19
2551,MEDIUM,HIGH,MEDIUM,"Category 1,Category 7,Category 6",MEDIUM,8.19
1588,MEDIUM,MEDIUM,MEDIUM,"Category 1,Category 5",LOW,8.19
2241,MEDIUM,MEDIUM,MEDIUM,"Category 2,Category 5",LOW,8.19
1010,MEDIUM,HIGH,HIGH,"Category 8,Category 3,Category 4,Category 5",MEDIUM,8.19
91,HIGH,HIGH,HIGH,"Category 5,Category 2",LOW,8.19
924,HIGH,HIGH,HIGH,"Category 8,Category 2,Category 5",MEDIUM,8.19
397,HIGH,HIGH,HIGH,Category 2,LOW,8.19
